id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/0/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,fade,conversation_id
d_main_24_04_1,d_main_24_04,Narration,Narration,Locale_MainScenario:d_main_24_04_1,False,massproduction01,14,idle,soldierfa,5,idle,product08,3,idle,OuterrimWall,140,140,1.0,bgm_story_facetoface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_2,d_main_24_04,Narration,Narration,Locale_MainScenario:d_main_24_04_2,False,,14,idle,,5,idle,,3,idle,,140,L_140,1.0,,massproduction01,sfx_scn_down,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_3,d_main_24_04,Narration,Narration,Locale_MainScenario:d_main_24_04_3,False,,,,,5,idle,,3,idle,,L_140,L_140,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_4,d_main_24_04,Speech,moran,Locale_MainScenario:d_main_24_04_4,True,,,,,5,idle,,3,idle,,L_140,14,0.7,,,,,moran,moran,14,idle,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_5,d_main_24_04,Speech,doban,Locale_MainScenario:d_main_24_04_5,True,doban,1,surprise,,5,idle,,3,idle,,14,1,2.0,,,,,doban,,14,idle,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_6,d_main_24_04,Speech,jin,Locale_MainScenario:d_main_24_04_6,True,,1,surprise,,5,idle,,3,idle,,1,1,1.0,,,,,jin,,14,idle,jin_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_7,d_main_24_04,Speech,moran,Locale_MainScenario:d_main_24_04_7,True,,1,idle,,5,idle,,3,idle,,1,14,0.5,,,,,moran,,14,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_8,d_main_24_04,Speech,jin,Locale_MainScenario:d_main_24_04_8,True,,1,idle,,5,idle,,3,idle,,14,14,1.0,,,,,jin,,14,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_9,d_main_24_04,Speech,jin,Locale_MainScenario:d_main_24_04_9,True,,1,idle,,5,idle,,3,idle,,14,14,1.0,,,,,jin,,14,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,
d_main_24_04_10,d_main_24_04,Speech,moran,Locale_MainScenario:d_main_24_04_10,True,,1,idle,,5,idle,,3,idle,,14,140,1.0,,,,,moran,,14,idle,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,
