id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound
d_ex_redash_01_3_1,d_ex_redash_01_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_01_3_1,False,redhood,3,think,rapunzel_o,5,think,Hospital,black,black,1.0,none,,
d_ex_redash_01_3_2,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_2,False,,3,think,,5,think,,30,30,1.0,event_bgm_redash_dearsnowwhite,,
d_ex_redash_01_3_3,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_3,False,,3,think,,5,think,,30,30,1.0,,,
d_ex_redash_01_3_4,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_4,True,,3,idle,,5,think,,30,4,1.0,,redhood,
d_ex_redash_01_3_5,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_5,True,,3,idle,,5,surprise,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_6,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_6,True,,3,idle,,5,surprise,,4,4,1.0,,redhood,
d_ex_redash_01_3_7,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_7,True,,3,idle,,5,surprise,,4,4,1.0,,redhood,
d_ex_redash_01_3_8,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_8,True,,3,idle,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_9,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_9,True,,3,sad_02,,5,think,,4,4,1.0,,redhood,
d_ex_redash_01_3_10,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_10,True,,3,idle,,5,think,,4,4,1.0,,redhood,
d_ex_redash_01_3_11,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_11,True,,3,idle,,5,think,,4,4,1.0,,redhood,
d_ex_redash_01_3_12,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_12,True,,3,idle,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_13,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_13,True,,3,think,,5,think,,4,4,1.0,,redhood,
d_ex_redash_01_3_14,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_14,True,,3,think,,5,think,,4,4,1.0,,redhood,
d_ex_redash_01_3_15,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_15,True,,3,think,,5,surprise,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_16,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_16,True,,3,think,,5,surprise,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_17,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_17,True,,3,think,,5,surprise,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_18,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_18,True,,3,think,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_19,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_19,True,,3,think,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_20,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_20,False,,3,think,,5,think,,4,30,1.0,,,
d_ex_redash_01_3_21,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_21,True,,3,idle,,5,think,,30,4,1.0,,redhood,
d_ex_redash_01_3_22,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_22,True,,3,idle,,5,surprise,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_23,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_23,True,,3,idle,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_24,d_ex_redash_01_3,Speech,rapunzel_o,Locale_SuddenStory:d_ex_redash_01_3_24,True,,3,idle,,5,think,,4,4,1.0,,rapunzel_o,
d_ex_redash_01_3_25,d_ex_redash_01_3,Monologue,Monologue,Locale_SuddenStory:d_ex_redash_01_3_25,False,,3,think,,5,think,,4,30,1.0,,,
d_ex_redash_01_3_26,d_ex_redash_01_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_01_3_26,False,,3,think,,5,think,,30,4,1.0,,redhood,
