id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_filter_01,set_filter_02,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_elevator_01_1,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_1,True,rapi,1,idle,anis,13,idle,neon,3,idle,Elevator,12,12,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,,,
d_ex_elevator_01_2,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_2,True,,1,idle,,13,idle,,3,idle,,12,2,1.0,,,,,,,,
d_ex_elevator_01_3,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_3,True,,1,idle,,13,idle,,3,idle,,2,2,1.0,,,,,,,,
d_ex_elevator_01_4,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_4,True,,1,idle,,13,delight,,3,idle,,13,13,1.0,,,,,,,,
d_ex_elevator_01_5,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_5,True,,1,idle,,13,delight,,3,idle,,3,3,1.0,,,,,,,,
d_ex_elevator_01_6,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_6,True,,1,idle,,13,idle,,3,idle,,1,1,1.0,,,,,,,,
d_ex_elevator_01_7,d_ex_elevator_01,Self,rapi,,Locale_SuddenStory:d_ex_elevator_01_7,True,,1,idle,,13,idle,,3,idle,,1,1,1.0,,,,,,,,
d_ex_elevator_01_8,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_8,True,,1,idle,,13,worry,,3,idle,,1,12,1.0,,,,,,,,
d_ex_elevator_01_9,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_9,True,,1,idle,,13,worry,,3,idle,,12,12,1.0,,,,,,,,
d_ex_elevator_01_10,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_10,True,,1,idle,,13,worry,,3,idle,,12,12,1.0,,,,,,,,
d_ex_elevator_01_11,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_11,True,,1,idle,,13,worry,,3,idle,,12,S_30,1.0,,,,,,,,
d_ex_elevator_01_12,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_12,True,,1,idle,,13,worry,,3,no,,S_30,S_30,1.0,,,,,,,,
d_ex_elevator_01_13,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_13,True,,1,idle,,13,worry,,3,no,,130,1300,3.0,,,,,,,,
d_ex_elevator_01_14,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_14,True,,1,idle,,13,worry,,3,no,,1300,1300,1.0,,none,,,,,,
d_ex_elevator_01_15,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_15,True,,1,idle,,13,worry,,3,no,,S_30,S_30,1.0,,,,,,,,
d_ex_elevator_01_16,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_16,False,,1,idle,,13,worry,,3,no,,S_30,S_30,1.0,,,,,,,,
d_ex_elevator_01_17,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_17,True,,1,idle,,13,worry,,3,delight,,S_30,S_300,1.0,,,,,,,,
