id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_subquest_1103_1,d_subquest_1103,,Speech,anis,anis,Locale_SubScenario:d_subquest_1103_1,True,IceLand_01,,,,,,130,130,0,,,,100,bgm_story_whosdumber,,None,None,,None,False,rapi,,1,idle,anis,,13,worry,neon,,15,idle,raptilion,,5,idle,raptilion_me,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_2,d_subquest_1103,,Speech,anis,anis,Locale_SubScenario:d_subquest_1103_2,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,worry,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_3,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_3,False,,,,,,,130,raptilion_5,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,worry,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_4,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_4,False,,,,,,,raptilion_5,raptilion_5,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_5,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_5,False,,,,,,,raptilion_5,raptilion_9,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_6,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_6,False,,,,,,,raptilion_9,raptilion_9,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_7,d_subquest_1103,,Monologue,anis,,Locale_SubScenario:d_subquest_1103_7,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,rapi,1,idle,,anis,13,void,,neon,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_8,d_subquest_1103,,Monologue,anis,,Locale_SubScenario:d_subquest_1103_8,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_9,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_9,False,,,,,,,raptilion_5,raptilion_5,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1103_10,d_subquest_1103,,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_10,False,,,,,,,raptilion_5,raptilion_5,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,void,,,15,idle,,,5,idle,,,9,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
