id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake
d_subquest_1103_1,d_subquest_1103,Speech,anis,anis,Locale_SubScenario:d_subquest_1103_1,True,rapi,1,idle,anis,13,worry,neon,15,idle,raptilion,5,idle,raptilion_me,9,idle,IceLand_01,130,130,1.0,bgm_story_whosdumber,,,,,
d_subquest_1103_2,d_subquest_1103,Speech,anis,anis,Locale_SubScenario:d_subquest_1103_2,True,,1,idle,,13,worry,,15,idle,,5,idle,,9,idle,,130,130,1.0,,,,,,
d_subquest_1103_3,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_3,False,,1,idle,,13,worry,,15,idle,,5,idle,,9,idle,,130,raptilion_5,2.0,,,,,,
d_subquest_1103_4,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_4,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_5,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_5,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_9,1.0,,,,,,
d_subquest_1103_6,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_6,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_9,raptilion_9,1.0,,,,,,
d_subquest_1103_7,d_subquest_1103,Monologue,anis,,Locale_SubScenario:d_subquest_1103_7,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,black,black,1.0,,rapi,anis,neon,,
d_subquest_1103_8,d_subquest_1103,Monologue,anis,,Locale_SubScenario:d_subquest_1103_8,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,black,black,1.0,,,,,,
d_subquest_1103_9,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_9,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_10,d_subquest_1103,Speech,anis,raptilion,Locale_SubScenario:d_subquest_1103_10,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_11,d_subquest_1103,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1103_11,False,rapi,1,think,anis,13,void,neon,15,idle,,5,idle,,9,idle,,10,10,1.0,,,,,,
d_subquest_1103_12,d_subquest_1103,Speech,neon,neon,Locale_SubScenario:d_subquest_1103_12,True,,1,think,,13,void,,15,worry,,5,idle,,9,idle,,10,S_150,1.0,,,,,,
d_subquest_1103_13,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_13,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_14,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_14,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_15,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_15,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
d_subquest_1103_16,d_subquest_1103,Speech,neon,raptilion,Locale_SubScenario:d_subquest_1103_16,False,,1,idle,,13,void,,15,idle,,5,idle,,9,idle,,raptilion_5,raptilion_5,1.0,,,,,,
