id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_subquest_1382_1,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_1,False,escapednikke,5,idle,rapi,3,idle,anis,1,void,neon,13,worry,RuinIndoor,5,50,1.0,bgm_story_fairytalesend_if
d_subquest_1382_2,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_2,True,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_3,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_3,True,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_4,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_4,False,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_5,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_5,True,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_6,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_6,True,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_7,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_7,False,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_8,d_subquest_1382,Self,,,Locale_SubScenario:d_subquest_1382_8,False,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_9,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_9,False,,5,idle,,3,idle,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_10,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_10,True,,5,idle,,3,idle,,1,void,,13,worry,,50,5,1.0,
d_subquest_1382_11,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_11,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_12,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_12,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_13,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_13,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_14,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_14,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_15,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_15,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_16,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_16,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_17,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_17,True,,5,idle,,3,idle,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_18,d_subquest_1382,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1382_18,False,,5,idle,,3,think,,1,void,,13,worry,,10,10,1.0,
d_subquest_1382_19,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_19,True,,5,idle,,3,think,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_20,d_subquest_1382,Speech,anis,anis,Locale_SubScenario:d_subquest_1382_20,True,,5,idle,,3,think,,1,void,,13,worry,,10,10,1.0,
d_subquest_1382_21,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_21,True,,5,idle,,3,think,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_22,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_22,True,,5,idle,,3,think,,1,void,,13,worry,,5,50,1.0,
d_subquest_1382_23,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_23,True,,5,idle,,3,think,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_24,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_24,True,,5,idle,,3,think,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_25,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_25,True,,5,idle,,3,think,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_26,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_26,True,,5,idle,,3,think,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_27,d_subquest_1382,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1382_27,True,,5,idle,,3,worry,,1,void,,13,worry,,3,30,0.6,
d_subquest_1382_28,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_28,True,,5,idle,,3,worry,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_29,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_29,True,,5,idle,,3,worry,,1,void,,13,worry,,50,50,1.0,
d_subquest_1382_30,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_30,False,,5,idle,,3,worry,,1,void,,13,worry,,50,5,1.0,
d_subquest_1382_31,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_31,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_32,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_32,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_33,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_33,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_34,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_34,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_35,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_35,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_36,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_36,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_37,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_37,True,,5,idle,,3,worry,,1,void,,13,worry,,5,5,1.0,
d_subquest_1382_38,d_subquest_1382,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1382_38,True,,5,idle,,3,think,,1,void,,13,worry,,5,4,1.0,
d_subquest_1382_39,d_subquest_1382,Speech,escapednikke,escapednikke,Locale_SubScenario:d_subquest_1382_39,True,,5,idle,,3,think,,1,void,,13,worry,,4,4,1.0,
