id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_14af_02_1,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_1,True,Office,1,1,1.0,bgm_story_fairytalesend_a,andersen,1,idle
d_main_14af_02_2,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_2,True,,1,1,1.0,,,1,idle
d_main_14af_02_3,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_3,True,,1,1,1.0,,,1,idle
d_main_14af_02_4,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_4,True,,1,1,1.0,,,1,idle
d_main_14af_02_5,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_5,False,,1,L_10,2.0,,,1,think
d_main_14af_02_6,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_6,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_7,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_7,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_8,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_8,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_9,d_main_14af_02,Self,andersen,Self,Locale_MainScenario:d_main_14af_02_9,False,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_10,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_10,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_11,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_11,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_12,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_12,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_13,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_13,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_14,d_main_14af_02,Self,andersen,Self,Locale_MainScenario:d_main_14af_02_14,False,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_15,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_15,True,,L_10,L_10,1.0,,,1,angry
d_main_14af_02_16,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_16,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_17,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_17,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_18,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_18,True,,L_10,L_10,1.0,,,1,idle
d_main_14af_02_19,d_main_14af_02,Speech,andersen,andersen,Locale_MainScenario:d_main_14af_02_19,True,,L_10,L_10,1.0,,,1,idle
