id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_ex_powerplant_05_1,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_1,True,maxwell,13,idle,drake,7,idle,quiry,8,idle,TechIndoor,13,13,1.0,bgm_story_tuffguys,,
d_ex_powerplant_05_2,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_2,True,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_3,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_3,True,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_4,d_ex_powerplant_05,Self,,Self,Locale_SuddenStory:d_ex_powerplant_05_4,False,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_5,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_5,True,,13,sad,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_6,d_ex_powerplant_05,Self,,Self,Locale_SuddenStory:d_ex_powerplant_05_6,False,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_7,d_ex_powerplant_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_05_7,False,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_8,d_ex_powerplant_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_05_8,False,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_9,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_9,True,,13,delight,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_10,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_10,True,,13,delight,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_11,d_ex_powerplant_05,Self,,Self,Locale_SuddenStory:d_ex_powerplant_05_11,False,,13,delight,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_12,d_ex_powerplant_05,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_powerplant_05_12,True,,13,idle,,7,idle,,8,idle,,13,13,1.0,,,
d_ex_powerplant_05_13,d_ex_powerplant_05,Narration,,Narration,Locale_SuddenStory:d_ex_powerplant_05_13,False,,13,angry,,1,angry,,8,idle,,13,10,1.0,,sfx_scn_heavytrip,
d_ex_powerplant_05_14,d_ex_powerplant_05,Monologue,,Monologue,Locale_SuddenStory:d_ex_powerplant_05_14,False,,13,angry,,1,angry,,8,idle,,10,10,1.0,,,
d_ex_powerplant_05_15,d_ex_powerplant_05,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_05_15,True,,13,angry,,1,angry,,8,idle,,10,10,1.0,,,
d_ex_powerplant_05_16,d_ex_powerplant_05,Speech,drake,drake,Locale_SuddenStory:d_ex_powerplant_05_16,True,,13,angry,,1,angry,,8,idle,,10,10,1.0,,,
