id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_subquest_1412_1,d_subquest_1412,,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_1,True,CrystalDesert_d,,,,,,12,12,0,,,,100,bgm_mystery,,None,None,,None,False,anis,,1,angry,neon,,13,idle,rapi,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_2,d_subquest_1412,,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_2,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_3,d_subquest_1412,,Speech,anis,anis,Locale_SubScenario:d_subquest_1412_3,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_4,d_subquest_1412,,Speech,neon,neon,Locale_SubScenario:d_subquest_1412_4,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,worry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_5,d_subquest_1412,,Self,neon,,Locale_SubScenario:d_subquest_1412_5,False,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,worry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_6,d_subquest_1412,,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_6,True,,,,,,,12,3,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_7,d_subquest_1412,,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_7,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_8,d_subquest_1412,,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_8,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_9,d_subquest_1412,,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1412_9,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_subquest_1412_10,d_subquest_1412,,Speech,shifty,shifty,Locale_SubScenario:d_subquest_1412_10,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,pain,,,13,idle,,,3,idle,shifty,,OP_leftup,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
