id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_main_14_01_e_1,d_main_14_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_14_01_e_1,True,rapi,5,idle,anis,1,idle,neon,3,idle,marian_p,7,idle,CityForest_01,5,5,1.0,ambient_scn_wind,
d_main_14_01_e_2,d_main_14_01_e,Speech,anis,anis,Locale_MainScenario:d_main_14_01_e_2,True,,5,idle,,1,idle,,3,idle,,7,idle,,5,31,1.0,,
d_main_14_01_e_3,d_main_14_01_e,Speech,neon,neon,Locale_MainScenario:d_main_14_01_e_3,True,,5,idle,,1,idle,,3,idle,,7,idle,,31,31,1.0,,
d_main_14_01_e_4,d_main_14_01_e,Speech,anis,anis,Locale_MainScenario:d_main_14_01_e_4,True,,5,idle,,1,idle,,3,idle,,7,idle,,31,31,1.0,,
d_main_14_01_e_5,d_main_14_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_14_01_e_5,True,,5,idle,,1,idle,,3,idle,,7,idle,,31,75,1.0,,
d_main_14_01_e_6,d_main_14_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_14_01_e_6,True,,5,idle,,1,void,,3,idle,,7,idle,,75,75,1.0,,
d_main_14_01_e_7,d_main_14_01_e,Monologue,,,Locale_MainScenario:d_main_14_01_e_7,False,,5,idle,,1,void,,3,idle,,7,idle,,75,75,1.0,none,
d_main_14_01_e_8,d_main_14_01_e,Monologue,,,Locale_MainScenario:d_main_14_01_e_8,False,,5,idle,,1,void,,3,idle,,7,idle,,75,70,1.0,,
d_main_14_01_e_9,d_main_14_01_e,Monologue,,,Locale_MainScenario:d_main_14_01_e_9,False,,5,idle,,1,void,,3,idle,,7,idle,,70,70,1.0,,
d_main_14_01_e_10,d_main_14_01_e,Monologue,,,Locale_MainScenario:d_main_14_01_e_10,False,,5,idle,,1,void,,3,idle,,7,idle,,70,70,1.0,,
d_main_14_01_e_11,d_main_14_01_e,Speech,anis,anis,Locale_MainScenario:d_main_14_01_e_11,False,,5,idle,,1,void,,3,idle,,7,idle,,31,31,1.0,,
d_main_14_01_e_12,d_main_14_01_e,Speech,neon,neon,Locale_MainScenario:d_main_14_01_e_12,False,,5,idle,,1,void,,3,idle,,7,idle,,31,31,1.0,,
d_main_14_01_e_13,d_main_14_01_e,Speech,rapi,rapi,Locale_MainScenario:d_main_14_01_e_13,True,,5,idle,,1,void,,3,idle,,7,idle,,75,75,1.0,,
