id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,conversation_id
d_main_17af_01_1,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_1,True,rapi,1,idle,anis,13,void,neon,15,idle,City_d,1315,1315,1.0,bgm_inark,,
d_main_17af_01_2,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_2,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_3,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_3,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_4,d_main_17af_01,Speech,neon,neon,Locale_MainScenario:d_main_17af_01_4,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_5,d_main_17af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_17af_01_5,True,,1,idle,,13,void,,15,idle,,1315,113,1.0,,,
d_main_17af_01_6,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_6,True,,1,idle,,13,angry,,15,idle,,113,130,1.0,,,
d_main_17af_01_7,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_7,True,,1,idle,,13,angry,,15,idle,,130,130,1.0,,,
d_main_17af_01_8,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_8,False,,1,idle,,13,void,,15,idle,,130,1315,1.0,,,
d_main_17af_01_9,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_9,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_10,d_main_17af_01,Speech,anis,anis,Locale_MainScenario:d_main_17af_01_10,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_11,d_main_17af_01,Speech,neon,neon,Locale_MainScenario:d_main_17af_01_11,True,,1,idle,,13,void,,15,idle,,1315,1315,1.0,,,
d_main_17af_01_12,d_main_17af_01,Speech,neon,neon,Locale_MainScenario:d_main_17af_01_12,True,,1,idle,,13,void,,15,no,,1315,S_1500,3.0,,,
d_main_17af_01_13,d_main_17af_01,Monologue,neon,,Locale_MainScenario:d_main_17af_01_13,False,,1,idle,,13,void,,15,no,,S_1500,S_1500,1.0,,,
d_main_17af_01_14,d_main_17af_01,Speech,neon,neon,Locale_MainScenario:d_main_17af_01_14,True,,1,idle,,13,void,,15,no,,S_1500,S_1500,1.0,none,,
d_main_17af_01_15,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_15,True,,1,idle,,13,void,,15,no,,9,9,1.0,bgm_mystery,black,
d_main_17af_01_16,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_16,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
d_main_17af_01_17,d_main_17af_01,Speech,citizen,citizen,Locale_MainScenario:d_main_17af_01_17,True,,1,idle,,13,void,,15,idle,,9,9,1.0,,,
