id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id
d_main_13_01_1,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_1,True,anis,3,idle,rapi,1,idle,neon,13,idle,shifty,OP_leftup,worry,Desert_01,12,2,2.0,bgm_thecalmbeforethestorm_a,
d_main_13_01_2,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_2,True,,3,idle,,1,idle,,13,idle,,OP_leftup,worry,,2,2,1.0,,
d_main_13_01_3,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_3,True,,3,idle,,1,idle,,13,idle,,OP_leftup,worry,,2,2,1.0,,
d_main_13_01_4,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_4,True,,3,idle,,1,idle,,13,idle,,OP_leftup,worry,,2,2,1.0,,
d_main_13_01_5,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_5,True,,3,idle,,1,idle,,13,idle,,OP_leftup,worry,,2,2,1.0,,
d_main_13_01_6,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_6,True,,3,idle,,1,idle,,13,idle,,OP_leftup,worry,,2,2,1.0,,
d_main_13_01_7,d_main_13_01,Speech,anis,anis,Locale_MainScenario:d_main_13_01_7,True,,3,delight,,1,idle,,13,idle,,OP_leftup,worry,,2,30,1.0,,
d_main_13_01_8,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_8,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,30,30,1.0,,
d_main_13_01_9,d_main_13_01,Speech,neon,neon,Locale_MainScenario:d_main_13_01_9,True,,3,idle,,1,idle,,13,delight,,OP_leftup,idle,,30,S_130,1.0,,
d_main_13_01_10,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_10,True,,3,idle,,1,idle,,13,delight,,OP_leftup,delight,,S_130,S_130,1.0,,
d_main_13_01_11,d_main_13_01,Speech,shifty,shifty,Locale_MainScenario:d_main_13_01_11,True,,3,idle,,1,idle,,13,delight,,OP_leftup,idle,,S_130,S_130,1.0,,
d_main_13_01_12,d_main_13_01,Speech,anis,anis,Locale_MainScenario:d_main_13_01_12,True,,3,delight,,1,idle,,13,delight,,OP_leftup,idle,,30,30,1.0,,shifty
d_main_13_01_13,d_main_13_01,Speech,rapi,rapi,Locale_MainScenario:d_main_13_01_13,True,,3,idle,,1,idle,,13,idle,,,,,30,10,1.0,,
d_main_13_01_14,d_main_13_01,Speech,rapi,rapi,Locale_MainScenario:d_main_13_01_14,True,,3,idle,,1,idle,,13,idle,,,,,10,10,1.0,,
d_main_13_01_15,d_main_13_01,Self,rapi,,Locale_MainScenario:d_main_13_01_15,True,,3,idle,,1,idle,,13,idle,,,,,10,10,1.0,,
d_main_13_01_16,d_main_13_01,Speech,rapi,rapi,Locale_MainScenario:d_main_13_01_16,True,,3,idle,,1,idle,,13,idle,,,,,10,10,1.0,,
d_main_13_01_17,d_main_13_01,Self,rapi,,Locale_MainScenario:d_main_13_01_17,True,,3,idle,,1,idle,,13,idle,,,,,10,10,1.0,,
d_main_13_01_18,d_main_13_01,Speech,rapi,rapi,Locale_MainScenario:d_main_13_01_18,True,,3,idle,,1,idle,,13,idle,,,,,10,100,0.5,,
