id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_main_06_02_1,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_1,True,alice,3,idle,ludmilla,1,idle,rapi,13,idle,anis,15,idle,neon,17,idle,TechIndoor,1,1,1.0,bgm_inark,
d_main_06_02_2,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_2,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,1,1,1.0,,
d_main_06_02_3,d_main_06_02,Speech,anis,anis,Locale_MainScenario:d_main_06_02_3,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,15,1.0,,
d_main_06_02_4,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_4,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,15,15,1.0,,
d_main_06_02_5,d_main_06_02,Speech,anis,anis,Locale_MainScenario:d_main_06_02_5,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,15,15,1.0,,
d_main_06_02_6,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_6,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,15,1,1.0,,
d_main_06_02_7,d_main_06_02,Narration,ludmilla,Narration,Locale_MainScenario:d_main_06_02_7,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,1,10,1.0,,
d_main_06_02_8,d_main_06_02,Narration,ludmilla,Narration,Locale_MainScenario:d_main_06_02_8,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,100,1.0,,sfx_scn_noise
d_main_06_02_9,d_main_06_02,Narration,ludmilla,Narration,Locale_MainScenario:d_main_06_02_9,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,100,1.0,,
d_main_06_02_10,d_main_06_02,Speech,anis,anis,Locale_MainScenario:d_main_06_02_10,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,10,1.0,,
d_main_06_02_11,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_11,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,10,1.0,,
d_main_06_02_12,d_main_06_02,Speech,alice,alice,Locale_MainScenario:d_main_06_02_12,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,10,S_30,1.0,,
d_main_06_02_13,d_main_06_02,Speech,anis,anis,Locale_MainScenario:d_main_06_02_13,True,,3,delight,,1,idle,,13,idle,,15,void,,17,idle,,150,150,1.0,,
d_main_06_02_14,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_14,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,10,1.0,,
d_main_06_02_15,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_15,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,100,3.0,,
d_main_06_02_16,d_main_06_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_02_16,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,100,100,1.0,,
