id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim
d_main_01af_05_1,d_main_01af_05,Speech,anis,anis,Locale_MainScenario:d_main_01af_05_1,True,ElevatorOut,31,31,1.0,bgm_inark,rapi,1,idle,anis,3,sad,,,,,,
d_main_01af_05_2,d_main_01af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_05_2,True,,31,31,1.0,none,,1,idle,,3,sad,,,,,,
d_main_01af_05_3,d_main_01af_05,Speech,anis,anis,Locale_MainScenario:d_main_01af_05_3,True,,31,15,1.0,,,1,idle,,3,void,neon,15,idle,,,
d_main_01af_05_4,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_4,True,,15,150,1.0,bgm_story_herecomestrouble,,1,idle,,3,void,,15,idle,,,
d_main_01af_05_5,d_main_01af_05,Speech,neon,rapi,Locale_MainScenario:d_main_01af_05_5,False,,150,150,1.0,,,1,idle,,3,void,,15,idle,,,
d_main_01af_05_6,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_6,True,,150,1500,1.0,,,1,idle,,3,void,,15,delight,,,
d_main_01af_05_7,d_main_01af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_05_7,True,,31,31,1.0,,,1,idle,,3,void,,15,idle,,,
d_main_01af_05_8,d_main_01af_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_05_8,True,,31,31,1.0,,,1,idle,,3,void,,15,idle,shifty,OP_leftup,idle
d_main_01af_05_9,d_main_01af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_05_9,True,,31,31,1.0,,,1,idle,,3,void,,15,idle,,OP_leftup,idle
d_main_01af_05_10,d_main_01af_05,Self,rapi,Self,Locale_MainScenario:d_main_01af_05_10,True,,31,31,1.0,,,1,idle,,3,void,,15,idle,,OP_leftup,idle
d_main_01af_05_11,d_main_01af_05,Speech,anis,anis,Locale_MainScenario:d_main_01af_05_11,True,,31,3,1.0,,,1,idle,,3,delight,,15,idle,,OP_leftup,idle
d_main_01af_05_12,d_main_01af_05,Speech,anis,anis,Locale_MainScenario:d_main_01af_05_12,True,,3,30,1.0,,,1,idle,,3,void,,15,idle,,OP_leftup,idle
d_main_01af_05_13,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_13,True,,15,150,1.0,,,1,idle,,3,void,,15,idle,,OP_leftup,idle
d_main_01af_05_14,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_14,True,,150,1500,0.5,,,1,idle,,3,void,,15,no,,OP_leftup,idle
d_main_01af_05_15,d_main_01af_05,Speech,neon,anis,Locale_MainScenario:d_main_01af_05_15,False,,1500,1500,1.0,,,1,idle,,3,no,,15,no,,OP_leftup,idle
d_main_01af_05_16,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_16,True,,1500,150,1.0,,,1,idle,,3,no,,15,idle,,OP_leftup,idle
d_main_01af_05_17,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_17,True,,150,150,1.0,,,1,idle,,3,no,,15,idle,,OP_leftup,idle
d_main_01af_05_18,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_18,True,,150,150,1.0,,,1,idle,,3,no,,15,idle,,OP_leftup,idle
d_main_01af_05_19,d_main_01af_05,Speech,neon,anis,Locale_MainScenario:d_main_01af_05_19,False,,150,150,1.0,,,1,idle,,3,void,,15,idle,,OP_leftup,idle
d_main_01af_05_20,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_20,True,,150,1500,0.5,,,1,idle,,3,void,,15,delight,,OP_leftup,idle
d_main_01af_05_21,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_21,True,,1500,1500,1.0,,,1,idle,,3,void,,15,delight,,OP_leftup,idle
d_main_01af_05_22,d_main_01af_05,Self,neon,Self,Locale_MainScenario:d_main_01af_05_22,True,,1500,1500,1.0,,,1,idle,,3,void,,15,delight,,OP_leftup,idle
d_main_01af_05_23,d_main_01af_05,Speech,neon,neon,Locale_MainScenario:d_main_01af_05_23,True,,1500,1500,1.0,,,1,idle,,3,void,,15,delight,,OP_leftup,idle
d_main_01af_05_24,d_main_01af_05,Speech,anis,anis,Locale_MainScenario:d_main_01af_05_24,True,,31,31,1.0,,,1,idle,,3,no,,15,delight,,OP_leftup,idle
d_main_01af_05_25,d_main_01af_05,Speech,shifty,shifty,Locale_MainScenario:d_main_01af_05_25,True,,31,31,1.0,,,1,idle,,3,no,,15,delight,,OP_leftup,think
d_main_01af_05_26,d_main_01af_05,Speech,rapi,rapi,Locale_MainScenario:d_main_01af_05_26,False,,31,31,1.0,,,1,idle,,3,no,,15,delight,,OP_leftup,think
