id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,set_filter_02,characters/2/hide_char_id
event_unbreakablesphere2_05_e_1,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_1,True,littlemermaid,1,surprise,mori,3,angry,TreeOfWater_r,S_300,S_30,0.5,event_bgm_ubsphere_unlockcodedeep,,,,,,,,,
event_unbreakablesphere2_05_e_2,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_2,True,,1,surprise,,3,angry,,S_30,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_3,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_3,True,,1,surprise,,3,angry,,S_30,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_4,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_4,True,,1,surprise,,3,angry,,S_30,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_5,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_5,True,,1,rage,,3,angry,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_6,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_6,True,,1,rage,,3,angry,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_7,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_7,True,,1,rage,,3,angry,,S_300,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_8,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_8,True,,1,rage,,3,angry,,S_300,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_9,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_9,True,,1,rage,,3,angry,,S_300,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_10,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_10,True,,1,rage,,3,angry,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_11,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_11,True,,1,rage,,3,angry,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_12,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_12,True,,1,rage,,3,angry,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_13,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_13,True,,1,rage,,3,angry,,L_100,L_10,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_14,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_14,True,,1,rage,,3,angry,,L_10,31,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_15,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_15,True,,1,think,,3,angry,,31,31,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_16,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_16,True,,1,think,,3,angry,,31,31,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_17,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_17,True,,1,think,,3,idle,,S_30,S_300,0.7,,,,,,,,,,
event_unbreakablesphere2_05_e_18,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_18,True,,1,think,,3,idle,,S_300,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_19,40076,event_unbreakablesphere2_05_e,Narration,mori,,Locale_MainScenario:event_unbreakablesphere2_05_e_19,False,,1,think,,3,idle,,black,black,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_20,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_20,True,,1,idle,,3,idle,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_21,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_21,True,,1,idle,,3,idle,,S_300,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_22,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_22,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_23,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_23,True,,1,idle,,3,idle,,S_30,S_30,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_24,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_24,False,,1,surprise,,3,idle,,L_10,L_100,0.5,,,,,,,,,,
event_unbreakablesphere2_05_e_25,40076,event_unbreakablesphere2_05_e,Speech,littlemermaid,littlemermaid,Locale_MainScenario:event_unbreakablesphere2_05_e_25,True,,1,surprise,,3,idle,,L_100,L_100,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_26,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_26,True,,1,surprise,,3,idle,,L_100,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_27,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_27,True,,1,surprise,,3,idle,,S_300,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_28,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_28,True,,1,surprise,,3,idle,,S_300,S_300,1.0,,,,,,,,,,
event_unbreakablesphere2_05_e_29,40076,event_unbreakablesphere2_05_e,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere2_05_e_29,True,,1,surprise,,3,idle,,S_300,S_30,1.0,,,,,,,,,,
