id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
event_fullfoolday_06_1,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_1,True,CityForest_001,S_10,S_10,1.0,bgm_story_orangepop,,shifty_s,1,surprise,
event_fullfoolday_06_2,130001,event_fullfoolday_06,Self,shifty_s,,Locale_SubScenario:event_fullfoolday_06_2,False,,S_10,S_10,1.0,,,,1,surprise,
event_fullfoolday_06_3,130001,event_fullfoolday_06,Self,shifty_s,,Locale_SubScenario:event_fullfoolday_06_3,False,,S_10,S_10,1.0,,,,1,surprise,
event_fullfoolday_06_4,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_4,False,,S_10,S_100,2.0,,,,1,think,
event_fullfoolday_06_5,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_5,True,,S_100,S_100,1.0,,,,1,think,
event_fullfoolday_06_6,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_6,True,,S_100,S_100,1.0,,,,1,worry,
event_fullfoolday_06_7,130001,event_fullfoolday_06,Self,shifty_s,,Locale_SubScenario:event_fullfoolday_06_7,False,,S_100,S_100,1.0,,,,1,worry,
event_fullfoolday_06_8,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_8,True,,S_100,S_10,1.0,,,,1,think,
event_fullfoolday_06_9,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_9,True,,S_10,S_10,1.0,,,,1,think,
event_fullfoolday_06_10,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_10,True,,S_10,S_10,1.0,,,,1,think,
event_fullfoolday_06_11,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_11,False,,S_10,S_10,1.0,,,,1,worry,
event_fullfoolday_06_12,130001,event_fullfoolday_06,Monologue,shifty_s,,Locale_SubScenario:event_fullfoolday_06_12,False,,S_10,S_10,1.0,,,,1,worry,shifty_s
event_fullfoolday_06_13,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_13,True,,S_10,S_10,1.0,,,shifty_s,1,idle,
event_fullfoolday_06_14,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_14,True,,S_10,S_10,1.0,,,,1,idle,
event_fullfoolday_06_15,130001,event_fullfoolday_06,Self,shifty_s,,Locale_SubScenario:event_fullfoolday_06_15,False,,S_10,S_10,1.0,,,,1,idle,
event_fullfoolday_06_16,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_16,True,,S_10,S_10,1.0,,,,1,idle,
event_fullfoolday_06_17,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_17,True,,S_10,S_10,1.0,,,,1,delight,
event_fullfoolday_06_18,130001,event_fullfoolday_06,Self,shifty_s,,Locale_SubScenario:event_fullfoolday_06_18,False,,S_10,S_10,1.0,,,,1,delight,
event_fullfoolday_06_19,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_19,True,,S_10,S_100,1.0,,,,1,delight,
event_fullfoolday_06_20,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_20,True,,S_100,S_100,1.0,,,,1,idle,
event_fullfoolday_06_21,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_21,True,,S_100,S_100,1.0,,,,1,idle,
event_fullfoolday_06_22,130001,event_fullfoolday_06,Speech,shifty_s,shifty,Locale_SubScenario:event_fullfoolday_06_22,True,,S_100,S_100,1.0,,,,1,idle,
event_fullfoolday_06_23,130001,event_fullfoolday_06,Monologue,,,Locale_SubScenario:event_fullfoolday_06_23,False,,S_100,17,1.0,,,,1,idle,shifty_s
event_fullfoolday_06_24,130001,event_fullfoolday_06,Narration,,,Locale_SubScenario:event_fullfoolday_06_24,False,,17,17,1.0,,sfx_scn_explosions,,,,
event_fullfoolday_06_25,130001,event_fullfoolday_06,Monologue,,,Locale_SubScenario:event_fullfoolday_06_25,False,,17,17,1.0,,,,,,
event_fullfoolday_06_26,130001,event_fullfoolday_06,Monologue,,,Locale_SubScenario:event_fullfoolday_06_26,False,,17,17,1.0,,,,,,
event_fullfoolday_06_27,130001,event_fullfoolday_06,Monologue,,,Locale_SubScenario:event_fullfoolday_06_27,False,,17,17,1.0,,,,,,
