id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
snowfall_episode_ludmilla_01_1,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_1,False,ludmilla_w,1,think,Trail_n,1,1,1.0,amb_so_trail_3,event_bgm_neverland_hugme_night,,,,,,,,
snowfall_episode_ludmilla_01_2,80903,snowfall_episode_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_2,False,,1,think,,1,1,1.0,,,snowfall_episode_ludmilla_01_4,,,,,,,
snowfall_episode_ludmilla_01_3,80903,snowfall_episode_ludmilla_01,Choice,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_3,False,,1,think,,1,1,1.0,,,snowfall_episode_ludmilla_01_5,,,,,,,
snowfall_episode_ludmilla_01_4,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_4,False,,1,think,,1,1,1.0,,,snowfall_episode_ludmilla_01_6,,,,,,,
snowfall_episode_ludmilla_01_5,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_5,False,,1,think,,black,black,1.0,,,,True,,,,,,
snowfall_episode_ludmilla_01_6,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_6,False,,1,surprise,,1,1,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_7,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_7,False,,1,surprise,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_8,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_8,False,,1,surprise,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_9,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_9,False,,1,surprise,,1,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_10,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_10,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_11,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_11,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_12,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_12,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_13,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_13,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_14,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_14,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_15,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_15,False,,1,think,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_16,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_16,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_17,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_17,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_18,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_18,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_19,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_19,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_20,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_20,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_21,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_21,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_22,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_22,False,,1,think,,10,1,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_23,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_23,False,,1,think,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_24,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_24,False,,1,think,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_25,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_25,True,,1,idle,,1,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_26,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_26,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_27,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_27,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_28,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_28,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_29,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_29,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_30,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_30,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_31,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_31,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_32,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_32,False,,1,think,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_33,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_33,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_34,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_34,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_35,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_35,False,,1,think,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_36,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_36,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_37,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_37,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_38,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_38,False,,1,think,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_39,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_39,True,,1,idle,,10,1,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_40,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_40,False,,1,idle,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_41,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_41,False,,1,idle,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_42,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_42,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,black,,,,
snowfall_episode_ludmilla_01_43,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_43,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_44,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_44,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_45,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_45,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_46,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_46,True,,1,idle,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_47,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_47,False,,1,idle,,10,10,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_48,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_48,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_49,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_49,True,,1,think,,10,10,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_50,80903,snowfall_episode_ludmilla_01,Speech,,Locale_SubScenario:snowfall_episode_ludmilla_01_50,True,,1,think,,10,10,1.0,,,,,unknown,,,,,
snowfall_episode_ludmilla_01_51,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_51,False,,1,angry,,10,1,0.6,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_52,80903,snowfall_episode_ludmilla_01,Self,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_52,False,,1,angry,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_53,80903,snowfall_episode_ludmilla_01,Speech,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_53,True,,1,angry,,1,1,1.0,,,,,ludmilla_w,,,,,
snowfall_episode_ludmilla_01_54,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_54,False,,1,angry,,1,1,1.0,,,,,,,,,,
snowfall_episode_ludmilla_01_55,80903,snowfall_episode_ludmilla_01,Speech,,Locale_SubScenario:snowfall_episode_ludmilla_01_55,True,,1,angry,,1,1,1.0,,,,,unknown,,,,,
snowfall_episode_ludmilla_01_56,80903,snowfall_episode_ludmilla_01,Monologue,ludmilla_w,Locale_SubScenario:snowfall_episode_ludmilla_01_56,False,,1,angry,,1,1,1.0,,,,,,,,,,
