id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,speaker,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,effects/0/stop_effect_id,characters/2/hide_char_id,characters/3/hide_char_id,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,fade
event_ce004_1_intermission_01_1,40055,event_ce004_1_intermission_01,Monologue,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_1,False,ce004_01,2,idle,ce004_02,12,idle,LivingRoom,black,black,1.0,bgm_inark,,,,,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_2,40055,event_ce004_1_intermission_01,Monologue,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_2,False,,2,idle,,12,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_3,40055,event_ce004_1_intermission_01,Narration,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_3,False,,2,idle,,12,idle,,1,1,1.0,,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_4,40055,event_ce004_1_intermission_01,Speech,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_4,True,,2,idle,,12,idle,,1,1,1.0,,,,,ce004_01,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_5,40055,event_ce004_1_intermission_01,Speech,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_5,True,,2,idle,,12,idle,,1,1,1.0,,,,,ce004_01,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_6,40055,event_ce004_1_intermission_01,Speech,ce004_02,Locale_SubScenario:event_ce004_1_intermission_01_6,True,,2,idle,,12,idle,,1,1,1.0,,,,,ce004_02,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_7,40055,event_ce004_1_intermission_01,Narration,ce004_02,Locale_SubScenario:event_ce004_1_intermission_01_7,False,,2,idle,,12,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_8,40055,event_ce004_1_intermission_01,Speech,ce004_02,Locale_SubScenario:event_ce004_1_intermission_01_8,False,,2,idle,,12,idle,,1,1,1.0,,,,,ce004_02,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_9,40055,event_ce004_1_intermission_01,Monologue,ce004_02,Locale_SubScenario:event_ce004_1_intermission_01_9,False,,2,idle,,12,idle,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
event_ce004_1_intermission_01_10,40055,event_ce004_1_intermission_01,Speech,ce004_01,Locale_SubScenario:event_ce004_1_intermission_01_10,True,,2,idle,,12,idle,,1,1,1.0,,,,,ce004_01,,,,,,,,,,,,,,,,
