id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/hide_char_id,characters/1/hide_char_id
event_miraclesnow1_03_e_1,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_1,True,rupee,1,idle,n102,13,delight,maiden,15,idle,ShoppingMall,15,S_150,1.0,bgm_story_languor,,
event_miraclesnow1_03_e_2,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_2,True,,1,idle,,13,delight,,15,idle,,S_150,S_150,1.0,,,
event_miraclesnow1_03_e_3,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_3,True,,1,idle,,13,delight,,15,idle,,S_150,1315,1.0,,,
event_miraclesnow1_03_e_4,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_4,True,,1,idle,,13,delight,,15,idle,,1315,1315,1.0,,,
event_miraclesnow1_03_e_5,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_5,True,,1,idle,,13,delight,,15,idle,,1315,1315,1.0,,,
event_miraclesnow1_03_e_6,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_6,True,,1,idle,,13,delight,,15,idle,,1315,1315,0.5,,,
event_miraclesnow1_03_e_7,40003,event_miraclesnow1_03_e,Speech,n102,n102,Locale_SubScenario:event_miraclesnow1_03_e_7,True,,1,idle,,13,pain,,15,idle,,1315,1315,1.0,,,
event_miraclesnow1_03_e_8,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_8,True,,1,idle,,13,pain,,15,idle,,1315,15,1.0,,,
event_miraclesnow1_03_e_9,40003,event_miraclesnow1_03_e,Speech,maiden,maiden,Locale_SubScenario:event_miraclesnow1_03_e_9,True,,1,idle,,13,pain,,15,idle,,15,S_150,1.0,,,
event_miraclesnow1_03_e_10,40003,event_miraclesnow1_03_e,Self,,,Locale_SubScenario:event_miraclesnow1_03_e_10,False,,1,idle,,13,pain,,15,idle,,S_150,S_150,1.0,,,
