id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_phantomthiefvsdetective_03_e_1,40059,event_phantomthiefvsdetective_03_e,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_e_1,True,phantom,2,no,quency_e,12,idle,miranda_c,14,idle,CommanderRoom_n,2,L_20,1.0,bgm_story_tuffguys
event_phantomthiefvsdetective_03_e_2,40059,event_phantomthiefvsdetective_03_e,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_e_2,True,,2,no,,12,idle,,14,idle,,L_20,L_20,1.0,
event_phantomthiefvsdetective_03_e_3,40059,event_phantomthiefvsdetective_03_e,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_e_3,True,,2,no,,12,idle,,14,idle,,L_20,L_20,1.0,
event_phantomthiefvsdetective_03_e_4,40059,event_phantomthiefvsdetective_03_e,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_03_e_4,True,,2,no,,12,idle,,14,idle,,L_20,L_20,1.0,
event_phantomthiefvsdetective_03_e_5,40059,event_phantomthiefvsdetective_03_e,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_03_e_5,True,,2,no,,12,idle,,14,idle,,L_20,S_120,1.0,
event_phantomthiefvsdetective_03_e_6,40059,event_phantomthiefvsdetective_03_e,Speech,quency_e,quency_e,Locale_SubScenario:event_phantomthiefvsdetective_03_e_6,True,,2,no,,12,delight,,14,idle,,S_120,S_120,1.0,
event_phantomthiefvsdetective_03_e_7,40059,event_phantomthiefvsdetective_03_e,Monologue,phantom,,Locale_SubScenario:event_phantomthiefvsdetective_03_e_7,False,,2,no,,12,idle,,14,idle,,S_120,L_20,1.0,
event_phantomthiefvsdetective_03_e_8,40059,event_phantomthiefvsdetective_03_e,Monologue,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_03_e_8,False,,2,no,,12,idle,,14,idle,,L_20,S_140,1.0,
event_phantomthiefvsdetective_03_e_9,40059,event_phantomthiefvsdetective_03_e,Monologue,miranda_c,,Locale_SubScenario:event_phantomthiefvsdetective_03_e_9,False,,2,no,,12,idle,,14,idle,,S_140,S_1400,1.0,
event_phantomthiefvsdetective_03_e_10,40059,event_phantomthiefvsdetective_03_e,Self,quency_e,,Locale_SubScenario:event_phantomthiefvsdetective_03_e_10,False,,2,no,,12,idle,,14,idle,,S_1400,S_1200,0.5,
