id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_goldenship_03_e_1,40023,event_goldenship_03_e,,Monologue,,,Locale_SubScenario:event_goldenship_03_e_1,False,Desert_03,,,,,,black,black,0,,,,100,bgm_inark,,None,None,,None,False,mast,,1,surprise,frima_s,,13,idle,anchor,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_2,40023,event_goldenship_03_e,,Speech,mast,mast,Locale_SubScenario:event_goldenship_03_e_2,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_3,40023,event_goldenship_03_e,,Speech,mast,mast,Locale_SubScenario:event_goldenship_03_e_3,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_4,40023,event_goldenship_03_e,,Self,,,Locale_SubScenario:event_goldenship_03_e_4,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_5,40023,event_goldenship_03_e,,Speech,mast,mast,Locale_SubScenario:event_goldenship_03_e_5,True,,,,,,,S_10,S_100,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_6,40023,event_goldenship_03_e,,Speech,mast,mast,Locale_SubScenario:event_goldenship_03_e_6,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_7,40023,event_goldenship_03_e,,Speech,mast,mast,Locale_SubScenario:event_goldenship_03_e_7,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_8,40023,event_goldenship_03_e,,Speech,frima_s,frima,Locale_SubScenario:event_goldenship_03_e_8,True,,,,,,,1300,1300,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_9,40023,event_goldenship_03_e,,Speech,anchor,anchor,Locale_SubScenario:event_goldenship_03_e_9,True,,,,,,,XS_300,XS_300,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldenship_03_e_10,40023,event_goldenship_03_e,,Speech,anchor,anchor,Locale_SubScenario:event_goldenship_03_e_10,True,,,,,,,XS_300,XS_300,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
