id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
snowfall_speech_npc_day4_02_1,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_1,True,Trail_s,2,2,1.0,amb_so_trail_2,event_bgm_neverland_snowflakes_sunset,delta,3,idle,signal,1,delight
snowfall_speech_npc_day4_02_2,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_2,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day4_02_3,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_3,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day4_02_4,80903,snowfall_speech_npc_day4_02,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day4_02_4,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day4_02_5,80903,snowfall_speech_npc_day4_02,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day4_02_5,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day4_02_6,80903,snowfall_speech_npc_day4_02,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day4_02_6,True,,2,2,1.0,,,,3,idle,,1,delight
snowfall_speech_npc_day4_02_7,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_7,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day4_02_8,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_8,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day4_02_9,80903,snowfall_speech_npc_day4_02,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day4_02_9,True,,2,2,1.0,,,,3,idle,,1,idle
snowfall_speech_npc_day4_02_10,80903,snowfall_speech_npc_day4_02,Speech,delta,delta,Locale_SubScenario:snowfall_speech_npc_day4_02_10,True,,2,2,1.0,,,,3,delight,,1,idle
snowfall_speech_npc_day4_02_11,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_11,True,,2,2,1.0,,,,3,delight,,1,delight
snowfall_speech_npc_day4_02_12,80903,snowfall_speech_npc_day4_02,Speech,signal,signal,Locale_SubScenario:snowfall_speech_npc_day4_02_12,True,,2,2,1.0,,,,3,delight,,1,delight
snowfall_speech_npc_day4_02_13,80903,snowfall_speech_npc_day4_02,Narration,,,Locale_SubScenario:snowfall_speech_npc_day4_02_13,False,,black,black,1.0,,,,3,delight,,1,delight
