id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_absolute1_03_e_1,40086,event_absolute1_03_e,,Narration,ludmilla,,Locale_MainScenario:event_absolute1_03_e_1,False,BriefingRoom,,,,,,black,black,0,,sfx_scn_dishdebris,,100,bgm_story_inwonderland,,None,None,,None,False,tove,,3,idle,ludmilla,,1,idle,alice,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_2,40086,event_absolute1_03_e,,Speech,ludmilla,ludmilla,Locale_MainScenario:event_absolute1_03_e_2,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_3,40086,event_absolute1_03_e,,Speech,alice,alice,Locale_MainScenario:event_absolute1_03_e_3,True,,,,,,,10,12,-858993459,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_4,40086,event_absolute1_03_e,,Speech,alice,alice,Locale_MainScenario:event_absolute1_03_e_4,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_5,40086,event_absolute1_03_e,,Speech,alice,alice,Locale_MainScenario:event_absolute1_03_e_5,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_6,40086,event_absolute1_03_e,,Speech,alice,alice,Locale_MainScenario:event_absolute1_03_e_6,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_7,40086,event_absolute1_03_e,,Speech,alice,alice,Locale_MainScenario:event_absolute1_03_e_7,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_8,40086,event_absolute1_03_e,,Speech,ludmilla,ludmilla,Locale_MainScenario:event_absolute1_03_e_8,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_9,40086,event_absolute1_03_e,,Speech,ludmilla,ludmilla,Locale_MainScenario:event_absolute1_03_e_9,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_absolute1_03_e_10,40086,event_absolute1_03_e,,Speech,ludmilla,ludmilla,Locale_MainScenario:event_absolute1_03_e_10,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
