id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_exnii2_05_e_1,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_1,True,ce005_02_01,1,idle,ce004_03_03,3,idle,NikkeRoom,10,1,1.0,event_bgm_ce005_laststand,,,,,,,,,,
event_exnii2_05_e_2,40071,event_exnii2_05_e,Speech,ce004_03_03,ce004_03_03,Locale_SubScenario:event_exnii2_05_e_2,True,,1,idle,,3,delight,,1,event_exnii_talk_06,1.0,,,,,,,,,,,
event_exnii2_05_e_3,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_3,True,,1,shy,,3,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,
event_exnii2_05_e_4,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_4,True,,1,shy,,3,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,
event_exnii2_05_e_5,40071,event_exnii2_05_e,Speech,ce004_03_03,ce004_03_03,Locale_SubScenario:event_exnii2_05_e_5,True,,1,shy,,3,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,
event_exnii2_05_e_6,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_6,True,,1,delight,,3,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,,,,,,,,,
event_exnii2_05_e_7,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_7,True,,1,delight,,3,idle,,event_exnii_talk_06,10,1.0,,,,,,,,,,,
event_exnii2_05_e_8,40071,event_exnii2_05_e,Speech,ce004_03_03,ce004_03_03,Locale_SubScenario:event_exnii2_05_e_8,True,,1,delight,,3,go,,30,30,1.0,,,,,,,,,,,
event_exnii2_05_e_9,40071,event_exnii2_05_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_05_e_9,True,,1,idle,,3,idle,NikkeCorridor,event_exnii_talk_10,event_exnii_talk_10,1.0,,ce005_03,15,idle,ce005_01,13,idle,black,,,
event_exnii2_05_e_10,40071,event_exnii2_05_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_05_e_10,True,,1,idle,,3,idle,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,15,idle,,13,idle,,,,
event_exnii2_05_e_11,40071,event_exnii2_05_e,Speech,ce004_03_03,ce004_03_03,Locale_SubScenario:event_exnii2_05_e_11,True,,1,idle,,3,idle,,event_exnii_talk_10,event_exnii_talk_06,1.0,,,15,idle,,13,idle,,,,
event_exnii2_05_e_12,40071,event_exnii2_05_e,Speech,ce005_02_01,ce004_01,Locale_SubScenario:event_exnii2_05_e_12,True,,1,think,,3,idle,,event_exnii_talk_06,event_exnii_talk_06,1.0,,,15,idle,,13,idle,,,,
event_exnii2_05_e_13,40071,event_exnii2_05_e,Speech,ce005_03,ce005_03,Locale_SubScenario:event_exnii2_05_e_13,True,,1,think,,3,idle,,event_exnii_talk_06,event_exnii_talk_10,1.0,,,15,no,,13,idle,,,,
event_exnii2_05_e_14,40071,event_exnii2_05_e,Speech,ce005_01,ce005_01,Locale_SubScenario:event_exnii2_05_e_14,True,,1,think,,3,idle,,event_exnii_talk_10,event_exnii_talk_10,1.0,,,15,idle,,13,idle,,,,
