id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id,set_filter_02,highlight,speaker,play_sound
event_footstepwalkrun1_06_e_1,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_1,False,rapi_m,1,idle,Desert_01,black,black,1.0,bgm_greyhaze,Vignetting,,,,,,,,,,
event_footstepwalkrun1_06_e_2,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_2,False,,1,idle,,black,black,1.0,,Vignetting,,,,,,,,,,
event_footstepwalkrun1_06_e_3,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_3,False,,1,idle,,black,black,1.0,,Vignetting,,,,,,,,,,
event_footstepwalkrun1_06_e_4,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_4,False,,1,idle,,113,113,1.0,,Vignetting,soldierow,13,idle,,,,,,,
event_footstepwalkrun1_06_e_5,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_5,False,,1,idle,,113,113,1.0,,Vignetting,soldierfa,13,idle,soldierow,,,,,,
event_footstepwalkrun1_06_e_6,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_6,False,,1,idle,,113,113,1.0,,Vignetting,product23,13,idle,soldierfa,,,,,,
event_footstepwalkrun1_06_e_7,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_7,False,,1,idle,,black,black,1.0,,Vignetting,,13,idle,product23,,,,,,
event_footstepwalkrun1_06_e_8,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_8,False,,1,idle,,black,black,1.0,,Vignetting,,,,,,,,,,
event_footstepwalkrun1_06_e_9,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_9,False,,1,idle,,100,100,1.0,,Vignetting,,,,,,,,,,
event_footstepwalkrun1_06_e_10,40066,event_footstepwalkrun1_06_e,Narration,Locale_MainScenario:event_footstepwalkrun1_06_e_10,False,,1,idle,,100,100,1.0,,Vignetting,,,,,,,,,,
