id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/hide_char_id,play_sound,set_camera_shake,characters/1/hide_char_id
event_nyanyaparadise_04_s_1,40022,event_nyanyaparadise_04_s,Monologue,Locale_SubScenario:event_nyanyaparadise_04_s_1,False,ruru,1,sad,nero,3,idle,OuterRim,black,black,1.0,bgm_story_weare,,,,,,,
event_nyanyaparadise_04_s_2,40022,event_nyanyaparadise_04_s,Monologue,Locale_SubScenario:event_nyanyaparadise_04_s_2,False,,1,sad,,3,idle,,black,black,1.0,,,,,,,,
event_nyanyaparadise_04_s_3,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_3,False,,1,sad,,3,idle,,1,1,1.0,,ruru,ruru,,,,,
event_nyanyaparadise_04_s_4,40022,event_nyanyaparadise_04_s,Monologue,Locale_SubScenario:event_nyanyaparadise_04_s_4,False,,1,sad,,3,idle,,1,1,1.0,,,,,,,,
event_nyanyaparadise_04_s_5,40022,event_nyanyaparadise_04_s,Monologue,Locale_SubScenario:event_nyanyaparadise_04_s_5,False,,1,sad,,3,idle,,1,XS_10,1.0,,,,,,,,
event_nyanyaparadise_04_s_6,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_6,True,,1,sad,,3,idle,,XS_10,XS_10,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_7,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_7,True,,1,sad,,3,idle,,XS_10,XS_10,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_8,40022,event_nyanyaparadise_04_s,Self,Locale_SubScenario:event_nyanyaparadise_04_s_8,False,,1,sad,,3,idle,,XS_10,XS_10,1.0,,,,,,,,
event_nyanyaparadise_04_s_9,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_9,False,,1,sad,,3,idle,,XS_10,XS_10,1.0,,ruru,ruru,,,,,
event_nyanyaparadise_04_s_10,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_10,True,,1,sad,,3,idle,,XS_10,L_30,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_11,40022,event_nyanyaparadise_04_s,Self,Locale_SubScenario:event_nyanyaparadise_04_s_11,False,,1,sad,,3,idle,,L_30,L_30,1.0,,,,,,,,
event_nyanyaparadise_04_s_12,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_12,True,,1,sad,,3,idle,,L_30,L_30,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_13,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_13,True,,1,sad,,3,idle,,L_30,L_30,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_14,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_14,True,,1,sad,,3,idle,,L_30,L_30,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_15,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_15,True,,1,sad,,3,idle,,L_30,L_30,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_16,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_16,False,,1,sad,,3,idle,,L_30,31,2.0,,ruru,ruru,,,,,
event_nyanyaparadise_04_s_17,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_17,False,,1,sad,,3,shy,,31,31,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_18,40022,event_nyanyaparadise_04_s,Speech,Locale_SubScenario:event_nyanyaparadise_04_s_18,True,,1,sad,,3,shy,,31,31,1.0,,nero,nero,,,,,
event_nyanyaparadise_04_s_19,40022,event_nyanyaparadise_04_s,Self,Locale_SubScenario:event_nyanyaparadise_04_s_19,False,,1,sad,,3,shy,,31,31,1.0,,,,,,,,
