id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,play_sound
snowfall_speech_npc_day9_06_1,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_1,True,ludmilla_w,3,idle,lumi_01,1,idle,BigHotSpring_s,2,2,1.0,amb_so_hotspring_2,event_bgm_neverland_hugme_sunset,
snowfall_speech_npc_day9_06_2,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_2,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_3,80903,snowfall_speech_npc_day9_06,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day9_06_3,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_4,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_4,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_5,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_5,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_6,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_6,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_7,80903,snowfall_speech_npc_day9_06,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day9_06_7,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_8,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_8,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_9,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_9,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_10,80903,snowfall_speech_npc_day9_06,Speech,lumi_01,lumi_01,Locale_SubScenario:snowfall_speech_npc_day9_06_10,True,,3,idle,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_11,80903,snowfall_speech_npc_day9_06,Narration,,,Locale_SubScenario:snowfall_speech_npc_day9_06_11,False,,3,idle,,1,idle,,2,2,1.0,,,sfx_scn_running
snowfall_speech_npc_day9_06_12,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_12,True,,3,think,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_13,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_13,True,,3,think,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_14,80903,snowfall_speech_npc_day9_06,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_npc_day9_06_14,True,,3,think,,1,idle,,2,2,1.0,,,
snowfall_speech_npc_day9_06_15,80903,snowfall_speech_npc_day9_06,Narration,,,Locale_SubScenario:snowfall_speech_npc_day9_06_15,False,,3,think,,1,idle,,black,black,1.0,,,
