id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/hide_char_id,fade,characters/2/hide_char_id
event_overzone2_03_s_1,80304,event_overzone2_03_s,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone2_03_s_1,True,collectrobot,7,idle,dorothy,3,think,hongryeon,1,no,rapunzel,13,no,RuinIndoor,7,7,1.0,sfx_scn_connectsuccess,none,,,,,,,,
event_overzone2_03_s_2,80304,event_overzone2_03_s,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone2_03_s_2,True,,7,idle,,3,think,,1,no,,13,no,,7,7,1.0,,,,,,,,,,
event_overzone2_03_s_3,80304,event_overzone2_03_s,Speech,collectrobot,collectrobot,Locale_MainScenario:event_overzone2_03_s_3,True,,7,idle,,3,think,,1,no,,13,no,,7,7,1.0,sfx_scn_connectdot,,,,,,,,,
event_overzone2_03_s_4,80304,event_overzone2_03_s,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_03_s_4,True,,7,idle,,3,think,,1,no,,13,no,,7,70,1.0,,bgm_story_signal,,,,,,,,
event_overzone2_03_s_5,80304,event_overzone2_03_s,Speech,rapunzel,rapunzel,Locale_MainScenario:event_overzone2_03_s_5,False,,7,idle,,3,think,,1,no,,13,surprise,,130,130,1.0,,,,,,,,,,
event_overzone2_03_s_6,80304,event_overzone2_03_s,Speech,hongryeon,hongryeon,Locale_MainScenario:event_overzone2_03_s_6,True,,7,idle,,3,think,,1,no,,13,surprise,,10,10,1.0,,,,,,,,,,
event_overzone2_03_s_7,80304,event_overzone2_03_s,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone2_03_s_7,True,,7,idle,,3,think,,1,no,,13,no,,30,30,1.0,,,,,,,,,,
event_overzone2_03_s_8,80304,event_overzone2_03_s,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_03_s_8,True,,7,idle,,3,think,,1,no,,13,no,,70,70,1.0,,,,,,,,,,
event_overzone2_03_s_9,80304,event_overzone2_03_s,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_03_s_9,True,,7,idle,,3,think,,1,no,,13,no,,70,70,1.0,,,,,,,,,,
event_overzone2_03_s_10,80304,event_overzone2_03_s,Speech,manvoice,manvoice,Locale_MainScenario:event_overzone2_03_s_10,True,,7,idle,,3,think,,1,no,,13,no,,70,70,1.0,,,,,,,,,,
