id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_ludmilla_12_1,80903,snowfall_speech_ludmilla_12,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_1,False,BambooForest_s,1,1,1.0,amb_so_bambooforest_2,event_bgm_neverland_snowflakes_sunset,,,,ludmilla_w,1,angry
snowfall_speech_ludmilla_12_2,80903,snowfall_speech_ludmilla_12,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_2,False,,1,1,1.0,,,,,,,1,angry
snowfall_speech_ludmilla_12_3,80903,snowfall_speech_ludmilla_12,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_3,False,,1,1,1.0,,,,,,,1,angry
snowfall_speech_ludmilla_12_4,80903,snowfall_speech_ludmilla_12,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_4,False,,1,1,1.0,,,snowfall_speech_ludmilla_12_7,,,,1,angry
snowfall_speech_ludmilla_12_5,80903,snowfall_speech_ludmilla_12,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_5,False,,1,1,1.0,,,snowfall_speech_ludmilla_12_6,,,,1,angry
snowfall_speech_ludmilla_12_6,80903,snowfall_speech_ludmilla_12,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_6,False,,black,black,1.0,,,,True,,,1,angry
snowfall_speech_ludmilla_12_7,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_7,True,,1,10,1.0,,,,,ludmilla_w,,1,angry
snowfall_speech_ludmilla_12_8,80903,snowfall_speech_ludmilla_12,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_8,False,,10,10,1.0,,,,,,,1,angry
snowfall_speech_ludmilla_12_9,80903,snowfall_speech_ludmilla_12,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_9,False,,10,10,1.0,,,,,,,1,angry
snowfall_speech_ludmilla_12_10,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_10,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_11,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_11,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_12,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_12,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_13,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_13,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_14,80903,snowfall_speech_ludmilla_12,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_14,False,,10,10,1.0,,,snowfall_speech_ludmilla_12_16,,,,1,sad
snowfall_speech_ludmilla_12_15,80903,snowfall_speech_ludmilla_12,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_15,False,,10,10,1.0,,,snowfall_speech_ludmilla_12_20,,,,1,sad
snowfall_speech_ludmilla_12_16,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_16,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_17,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_17,True,,10,10,1.0,,,,,ludmilla_w,,1,sad
snowfall_speech_ludmilla_12_18,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_18,True,,10,10,1.0,,,,,ludmilla_w,,1,angry
snowfall_speech_ludmilla_12_19,80903,snowfall_speech_ludmilla_12,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_19,False,,10,10,1.0,,,snowfall_speech_ludmilla_12_22,,,,1,angry
snowfall_speech_ludmilla_12_20,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_20,True,,10,10,1.0,,,,,ludmilla_w,,1,angry
snowfall_speech_ludmilla_12_21,80903,snowfall_speech_ludmilla_12,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_21,True,,10,10,1.0,,,snowfall_speech_ludmilla_12_22,,ludmilla_w,,1,angry
snowfall_speech_ludmilla_12_22,80903,snowfall_speech_ludmilla_12,Narration,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_12_22,False,,black,black,1.0,,,,,,,1,angry
