id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake
re_event_ce02_3_03_s_1,40082,re_event_ce02_3_03_s,Narration,Locale_SubScenario:event_ce02_3_03_s_1,False,p12,13,idle,ce_02_02,1,think,TrainingField,black,black,1.0,sfx_scn_heavydooropen,none,,,,,,,,,,,,
re_event_ce02_3_03_s_2,40082,re_event_ce02_3_03_s,Monologue,Locale_SubScenario:event_ce02_3_03_s_2,False,,13,idle,,1,think,,12,12,1.0,,,,,,,,,,,,,,
re_event_ce02_3_03_s_3,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_3,False,,13,idle,,1,idle,,12,10,0.6,,,ce_02_02,ce_02_02,,,,,,,,,,
re_event_ce02_3_03_s_4,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_4,True,,13,idle,,1,idle,,10,10,1.0,,,ce_02_02,ce_02_02,notmassproduction,18,idle,product12,17,idle,notmassproductions,19,idle,
re_event_ce02_3_03_s_5,40082,re_event_ce02_3_03_s,Narration,Locale_SubScenario:event_ce02_3_03_s_5,False,,13,idle,,1,idle,,10,18,1.0,sfx_scn_gunfire,event_bgm_ce002_story_3,,,,18,idle,,17,idle,,19,idle,Low_2
re_event_ce02_3_03_s_6,40082,re_event_ce02_3_03_s,Monologue,Locale_SubScenario:event_ce02_3_03_s_6,False,,13,idle,,1,idle,,18,18,1.0,,,,,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_7,40082,re_event_ce02_3_03_s,Monologue,Locale_SubScenario:event_ce02_3_03_s_7,False,,13,idle,,1,idle,,18,18,1.0,,,,,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_8,40082,re_event_ce02_3_03_s,Narration,Locale_SubScenario:event_ce02_3_03_s_8,False,,13,idle,,1,idle,,18,18,1.0,sfx_scn_gunfire,,,,,18,idle,,17,idle,,19,idle,Low_2
re_event_ce02_3_03_s_9,40082,re_event_ce02_3_03_s,Monologue,Locale_SubScenario:event_ce02_3_03_s_9,False,,13,idle,,1,idle,,18,18,1.0,,,,,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_10,40082,re_event_ce02_3_03_s,Monologue,Locale_SubScenario:event_ce02_3_03_s_10,False,,13,idle,,1,idle,,18,18,1.0,,,,,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_11,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_11,True,,13,idle,,1,angry,,18,12,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_12,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_12,True,,13,idle,,1,angry,,12,12,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_13,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_13,True,,13,idle,,1,angry,,12,12,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_14,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_14,True,,13,idle,,1,angry,,12,12,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_15,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_15,True,,13,idle,,1,angry,,12,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_16,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_16,True,,13,idle,,1,angry,,130,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_17,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_17,True,,13,idle,,1,angry,,130,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_18,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_18,True,,13,idle,,1,angry,,130,12,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_19,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_19,True,,13,idle,,1,angry,,12,12,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_20,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_20,False,,13,idle,,1,think,,12,12,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_21,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_21,True,,13,idle,,1,think,,12,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_22,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_22,True,,13,idle,,1,think,,130,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_23,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_23,True,,13,idle,,1,think,,130,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_24,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_24,True,,13,idle,,1,think,,10,10,1.0,,,ce_02_02,ce_02_02,,18,idle,,17,idle,,19,idle,
re_event_ce02_3_03_s_25,40082,re_event_ce02_3_03_s,Speech,Locale_SubScenario:event_ce02_3_03_s_25,True,,13,idle,,1,think,,130,130,1.0,,,p12,p12,,18,idle,,17,idle,,19,idle,
