id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id
event_ce006_2_06_e_1,40080,event_ce006_2_06_e,Speech,anis,anis,Locale_MainScenario:event_ce006_2_06_e_1,True,anis,4,angry,neon,2,surprise,ce006_npc_01,12,surprise,elegg,14,pain,Desert_02,3,3,1.0,collab_bgm_sb_lookout,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_2,40080,event_ce006_2_06_e,Speech,neon,neon,Locale_MainScenario:event_ce006_2_06_e_2,True,,4,angry,,2,surprise,,12,surprise,,14,pain,,3,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_3,40080,event_ce006_2_06_e,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_06_e_3,True,,4,angry,,2,surprise,,12,angry,,14,pain,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_4,40080,event_ce006_2_06_e,Speech,elegg,elegg,Locale_MainScenario:event_ce006_2_06_e_4,True,,4,angry,,2,surprise,,12,angry,,14,surprise,,13,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_5,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_5,True,,4,angry,,2,surprise,,12,angry,,14,surprise,,13,13,1.0,,ce006_03_op,OP_leftup,sad,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_6,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_6,True,,4,angry,,2,surprise,,12,angry,,14,surprise,,13,13,1.0,,,OP_leftup,sad,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_7,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_7,False,,4,angry,,2,surprise,,12,angry,,14,surprise,,13,13,1.0,,,OP_leftup,no,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_8,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_8,True,,4,angry,,2,surprise,,12,angry,,14,surprise,,13,13,1.0,,,OP_leftup,angry,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_9,40080,event_ce006_2_06_e,Speech,ce006_npc_01,ce006_npc_01,Locale_MainScenario:event_ce006_2_06_e_9,True,,4,angry,,2,surprise,,12,idle,,14,surprise,,13,13,1.0,,,OP_leftup,angry,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_10,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_10,True,,4,angry,,2,surprise,,12,idle,,14,surprise,,13,13,1.0,,,OP_leftup,no,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_11,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_11,True,,4,angry,,2,surprise,,12,idle,,14,surprise,,13,13,1.0,,,OP_leftup,surprise,,,,,,,,,,,,,,,,,,,,,,,
event_ce006_2_06_e_12,40080,event_ce006_2_06_e,Speech,ce006_03_op,ce006_03_op,Locale_MainScenario:event_ce006_2_06_e_12,True,,4,angry,,2,surprise,,12,idle,,14,surprise,,13,13,1.0,,,OP_leftup,surprise,,,,,,,,,,,,,,,,,,,,,,,
