id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_liarsend_04_1,130004,event_liarsend_04,,Narration,,,Locale_SubScenario:event_liarsend_04_1,False,BriefingRoom,,,,,,black,black,0,,sfx_scn_autodooropen,,100,bgm_story_languor,,None,None,,None,False,delta,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_2,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_2,True,,,,,,,3,1,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_3,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_3,False,,,,,,,1,S_10,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_4,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_4,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_5,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_5,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_6,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_6,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_7,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_7,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_8,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_8,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_9,130004,event_liarsend_04,,Choice,delta,,Locale_SubScenario:event_liarsend_04_9,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,event_liarsend_04_11,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_10,130004,event_liarsend_04,,Choice,delta,,Locale_SubScenario:event_liarsend_04_10,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,event_liarsend_04_11,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_11,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_11,False,,,,,,,S_10,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_12,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_12,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_13,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_13,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_14,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_14,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_15,130004,event_liarsend_04,,Speech,delta,delta,Locale_SubScenario:event_liarsend_04_15,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_liarsend_04_16,130004,event_liarsend_04,,Self,delta,,Locale_SubScenario:event_liarsend_04_16,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
