id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_ce004_2_06_s_1,40056,event_ce004_2_06_s,,Narration,,,Locale_SubScenario:event_ce004_2_06_s_1,False,ElevatorOut,,,,,,7,7,0,,,,100,event_bgm_ce004_compte,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce004_2_06_s_2,40056,event_ce004_2_06_s,,Monologue,,,Locale_SubScenario:event_ce004_2_06_s_2,False,,,,,,,7,7,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce004_2_06_s_3,40056,event_ce004_2_06_s,,Monologue,laplace,,Locale_SubScenario:event_ce004_2_06_s_3,False,,,,,,,7,7,0,,,,100,,,None,None,,None,False,drake,,9,idle,laplace,,7,idle,maxwell,,5,idle,vesti,,3,idle,eunhwa,,1,idle,emma,,13,idle,sugar,,15,idle,frima,,17,idle,milk,,19,idle,,,,,,,,False,,,,False
event_ce004_2_06_s_4,40056,event_ce004_2_06_s,,Monologue,eunhwa,,Locale_SubScenario:event_ce004_2_06_s_4,False,,,,,,,7,1,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,False,,,,False
event_ce004_2_06_s_5,40056,event_ce004_2_06_s,,Monologue,frima,,Locale_SubScenario:event_ce004_2_06_s_5,False,,,,,,,1,17,0,,,,100,,,None,None,,None,False,anis,drake,9,idle,rapi,laplace,7,idle,neon,maxwell,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,19,idle,,,,,,,,False,,,,False
event_ce004_2_06_s_6,40056,event_ce004_2_06_s,,Monologue,rapi,,Locale_SubScenario:event_ce004_2_06_s_6,False,,,,,,,7,70,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,vesti,3,idle,,eunhwa,1,idle,,emma,13,idle,,sugar,15,idle,,frima,17,idle,,milk,19,idle,,,,,,,,False,,,,False
event_ce004_2_06_s_7,40056,event_ce004_2_06_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce004_2_06_s_7,True,,,,,,,70,70,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce004_2_06_s_8,40056,event_ce004_2_06_s,,Self,rapi,,Locale_SubScenario:event_ce004_2_06_s_8,False,,,,,,,70,70,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce004_2_06_s_9,40056,event_ce004_2_06_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce004_2_06_s_9,True,,,,,,,70,70,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce004_2_06_s_10,40056,event_ce004_2_06_s,,Self,rapi,,Locale_SubScenario:event_ce004_2_06_s_10,False,,,,,,,70,70,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,idle,,,5,idle,zwei,,13,idle,ein,,15,idle,rei,,17,idle,marciana,,19,idle,ce004_04,,3,idle,,,,,ce004_01,,1,idle,,,,False,,,,False
