id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker
event_ce02_3_01_e_1,40026,event_ce02_3_01_e,Narration,Locale_SubScenario:event_ce02_3_01_e_1,False,product12,13,idle,ce_02_02,1,idle,Factory,black,black,1.0,sfx_scn_rapturelanding,event_bgm_ce002_story_3,,
event_ce02_3_01_e_2,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_2,True,,13,idle,,1,idle,,12,12,1.0,,,product12,product12
event_ce02_3_01_e_3,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_3,True,,13,idle,,1,idle,,12,12,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_4,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_4,True,,13,idle,,1,idle,,12,130,1.0,,,product12,product12
event_ce02_3_01_e_5,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_5,True,,13,idle,,1,idle,,130,130,1.0,,,product12,product12
event_ce02_3_01_e_6,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_6,True,,13,idle,,1,idle,,130,130,1.0,,,product12,product12
event_ce02_3_01_e_7,40026,event_ce02_3_01_e,Narration,Locale_SubScenario:event_ce02_3_01_e_7,False,,13,idle,,1,idle,,130,16,1.0,,,,
event_ce02_3_01_e_8,40026,event_ce02_3_01_e,Monologue,Locale_SubScenario:event_ce02_3_01_e_8,False,,13,idle,,1,idle,,16,16,1.0,,,,
event_ce02_3_01_e_9,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_9,True,,13,idle,,1,think,,16,12,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_10,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_10,True,,13,idle,,1,think,,12,12,1.0,,,product12,product12
event_ce02_3_01_e_11,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_11,True,,13,idle,,1,idle,,12,12,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_12,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_12,True,,13,idle,,1,idle,,12,12,1.0,,,product12,product12
event_ce02_3_01_e_13,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_13,True,,13,idle,,1,idle,,12,12,1.0,,,product12,product12
event_ce02_3_01_e_14,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_14,True,,13,idle,,1,think,,12,10,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_15,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_15,True,,13,idle,,1,think,,10,10,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_16,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_16,True,,13,idle,,1,think,,130,130,1.0,,,product12,product12
event_ce02_3_01_e_17,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_17,True,,13,idle,,1,idle,,10,12,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_18,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_18,True,,13,idle,,1,idle,,12,12,1.0,,,ce_02_02,ce_02_02
event_ce02_3_01_e_19,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_19,True,,13,idle,,1,idle,,12,12,1.0,,,product12,product12
event_ce02_3_01_e_20,40026,event_ce02_3_01_e,Speech,Locale_SubScenario:event_ce02_3_01_e_20,True,,13,idle,,1,idle,,12,12,1.0,,,product12,product12
