id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,set_filter_02,play_sound
event_newyearnewsword_06_s_1,40036,event_newyearnewsword_06_s,Monologue,Locale_SubScenario:event_newyearnewsword_06_s_1,False,hongryeon_o,1,surprise,janghwa,13,idle,WasteLand_02_n,S_10,1,2.0,bgm_story_trauma,,,,,
event_newyearnewsword_06_s_2,40036,event_newyearnewsword_06_s,Monologue,Locale_SubScenario:event_newyearnewsword_06_s_2,False,,1,surprise,,13,idle,,1,1,1.0,,,,,,
event_newyearnewsword_06_s_3,40036,event_newyearnewsword_06_s,Monologue,Locale_SubScenario:event_newyearnewsword_06_s_3,False,,1,surprise,,13,idle,,1,1,1.0,,,,,,
event_newyearnewsword_06_s_4,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_4,True,,1,surprise,,13,idle,,1,12,1.0,,hongryeon_o,hongryeon_o,,,
event_newyearnewsword_06_s_5,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_5,True,,1,surprise,,13,special,,12,12,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_6,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_6,True,,1,surprise,,13,special,,12,12,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_7,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_7,True,,1,angry,,13,idle,,12,12,1.0,,hongryeon_o,hongryeon_o,,,
event_newyearnewsword_06_s_8,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_8,True,,1,angry,,13,idle,,12,S_130,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_9,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_9,True,,1,angry,,13,idle,,S_130,S_130,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_10,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_10,True,,1,angry,,13,idle,,S_130,S_10,1.0,,hongryeon_o,hongryeon_o,,,
event_newyearnewsword_06_s_11,40036,event_newyearnewsword_06_s,Monologue,Locale_SubScenario:event_newyearnewsword_06_s_11,False,,1,angry,,13,idle,,S_10,S_130,1.0,,hongryeon_o,,,,
event_newyearnewsword_06_s_12,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_12,True,,1,angry,,13,idle,,S_130,S_130,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_13,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_13,True,,1,angry,,13,idle,,S_130,S_130,1.0,,janghwa,janghwa,,,
event_newyearnewsword_06_s_14,40036,event_newyearnewsword_06_s,Speech,Locale_SubScenario:event_newyearnewsword_06_s_14,True,,1,angry,,13,idle,,S_130,S_130,1.0,,janghwa,janghwa,,,
