id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_forrest_05_s_1,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_1,True,SecretGarden,,,,,,10,10,0,,,,100,bgm_story_orangepop,,Vignetting,None,,None,False,flora,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_2,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_2,True,,,,,,,10,10,0,,,,100,,,Vignetting,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_3,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_3,True,,,,,,,10,10,0,,,,100,,,Vignetting,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_4,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_4,True,,,,,,,10,10,0,,,,100,,,Vignetting,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_5,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_5,True,,,,,,,10,10,0,,,,100,,,Vignetting,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_6,40072,event_forrest_05_s,,Speech,flora,flora,Locale_SubScenario:event_forrest_05_s_6,True,,,,,,,10,10,0,,,,100,,,Vignetting,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_7,40072,event_forrest_05_s,,Monologue,flora,,Locale_SubScenario:event_forrest_05_s_7,False,Park,,,,,,black,black,0,,,,100,,,None,None,,None,False,liter_c,flora,1,idle,,,,,trina,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_8,40072,event_forrest_05_s,,Monologue,flora,,Locale_SubScenario:event_forrest_05_s_8,False,,,,,,,6,6,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_9,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_9,True,,,,,,,6,3,0,,,,100,,,None,None,,None,False,,,1,idle,yan,,3,etc,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_10,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_10,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,etc,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_11,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_11,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,etc,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_12,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_12,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,etc,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_13,40072,event_forrest_05_s,,Self,yan,,Locale_SubScenario:event_forrest_05_s_13,False,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,etc,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_14,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_14,True,,,,,,,3,S_30,0,,,,100,,,None,None,,Black,False,,,1,idle,,,3,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_05_s_15,40072,event_forrest_05_s,,Speech,yan,yan,Locale_SubScenario:event_forrest_05_s_15,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
