id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_doutsiders_04_s_1,40006,event_doutsiders_04_s,,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_1,True,OuterRim,,,,,,16,S_160,0,,,,100,bgm_distress,,None,None,,None,False,,,,,viper,,14,idle,jackal,,16,shy_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_2,40006,event_doutsiders_04_s,,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_2,True,,,,,,,S_160,S_160,0,,,,100,,,None,None,,None,False,,,,,,,14,idle,,,16,shy_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_3,40006,event_doutsiders_04_s,,Speech,jackal,jackal,Locale_SubScenario:event_doutsiders_04_s_3,True,,,,,,,S_160,S_1600,1717986918,,,,100,,,None,None,,None,False,,,,,,,14,idle,,,16,crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_4,40006,event_doutsiders_04_s,,Narration,,Narration,Locale_SubScenario:event_doutsiders_04_s_4,False,,,,,,,S_1600,1,0,,sfx_scn_dooropenfast,,100,,Low_2,None,None,,None,False,,,,,,,14,idle,,,16,crazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_5,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_5,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,joseph,,1,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_6,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_6,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_7,40006,event_doutsiders_04_s,,Speech,viper,viper,Locale_SubScenario:event_doutsiders_04_s_7,True,,,,,,,140,140,0,,,,100,,,None,None,,None,False,,,1,idle,,,14,good,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_8,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_8,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,14,good,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_9,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_9,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,14,good,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_10,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_10,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_doutsiders_04_s_11,40006,event_doutsiders_04_s,,Speech,joseph,joseph,Locale_SubScenario:event_doutsiders_04_s_11,True,RuinIndoor,,,,,,1,1,0,,,,100,bgm_story_fairytalesend_if,,None,None,,Black,False,,,1,serious,,,14,idle,,,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
