id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_ex_seayouagain_21_1,80600,d_ex_seayouagain_21,,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_1,False,Beach_n,,,,,,1,10,0,,,,100,none,,None,None,,None,False,frima_s,,1,angry,volt,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_2,80600,d_ex_seayouagain_21,,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_2,False,,,,,,,3,XS_30,0,,,,100,bgm_story_whosdumber,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_3,80600,d_ex_seayouagain_21,,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_21_3,False,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_4,80600,d_ex_seayouagain_21,,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_4,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_5,80600,d_ex_seayouagain_21,,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_5,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_6,80600,d_ex_seayouagain_21,,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_6,True,,,,,,,2,2,0,,sfx_scn_dogbark,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_7,80600,d_ex_seayouagain_21,,Monologue,,Monologue,Locale_SuddenStory:d_ex_seayouagain_21_7,False,,,,,,,1,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_8,80600,d_ex_seayouagain_21,,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_8,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_9,80600,d_ex_seayouagain_21,,Speech,frima_s,frima_s,Locale_SuddenStory:d_ex_seayouagain_21_9,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_seayouagain_21_10,80600,d_ex_seayouagain_21,,Speech,volt,volt,Locale_SuddenStory:d_ex_seayouagain_21_10,True,,,,,,,10,XS_30,0,,sfx_scn_dogbark,,100,,,None,None,,None,False,,,1,angry,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
