id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_neverland2_01_s_1,40035,event_neverland2_01_s,,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_1,True,HotSpringInnIn_s,,,,,,3,30,0,,,,100,bgm_inark,,None,None,,None,False,mica_w,,1,idle,ludmilla_w,,3,idle,belorta,,13,delight,blanc_c,,5,idle,noir_c,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_2,40035,event_neverland2_01_s,,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_2,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_3,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_3,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_4,40035,event_neverland2_01_s,,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_4,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_5,40035,event_neverland2_01_s,,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_5,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_6,40035,event_neverland2_01_s,,Speech,blanc_c,blanc_c,Locale_MainScenario:event_neverland2_01_s_6,True,,,,,,,30,75,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_7,40035,event_neverland2_01_s,,Speech,noir_c,noir_c,Locale_MainScenario:event_neverland2_01_s_7,True,,,,,,,75,75,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_8,40035,event_neverland2_01_s,,Speech,ludmilla_w,ludmilla_w,Locale_MainScenario:event_neverland2_01_s_8,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_9,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_9,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_10,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_10,True,,,,,,,XS_130,XS_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,5,idle,,,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_11,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_11,True,,,,,,,XS_130,XS_1300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,blanc_c,5,idle,,noir_c,7,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_12,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_12,True,IceLand_n,,,,,,XS_1300,XS_1300,0,,,,100,none,,None,None,,Black,False,,,1,idle,,,3,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_neverland2_01_s_13,40035,event_neverland2_01_s,,Speech,belorta,belorta,Locale_MainScenario:event_neverland2_01_s_13,True,,,,,,,XS_1300,XS_1300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
