id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
event_lionheart_02_e_1,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_1,True,leona_no,1,idle,biscuit,13,angry,nero,3,idle,BuildingLobby,XS_130,XS_130,1.0,bgm_story_cosmos,,,,
event_lionheart_02_e_2,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_2,True,,1,idle,,13,angry,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_e_3,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_3,True,,1,idle,,13,angry,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_e_4,40037,event_lionheart_02_e,Speech,nero,nero,Locale_SubScenario:event_lionheart_02_e_4,True,,1,idle,,13,angry,,3,shy,,L_30,L_30,1.0,,,,,
event_lionheart_02_e_5,40037,event_lionheart_02_e,Speech,nero,nero,Locale_SubScenario:event_lionheart_02_e_5,True,,1,idle,,13,angry,,3,shy,,L_30,L_30,1.0,,,,,
event_lionheart_02_e_6,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_6,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_e_7,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_7,True,,1,idle,,13,sad,,3,idle,,XS_130,XS_130,1.0,,,,,
event_lionheart_02_e_8,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_8,True,,1,idle,,13,delight,,3,idle,,XS_130,12,1.0,,,,,
event_lionheart_02_e_9,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_9,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_10,40037,event_lionheart_02_e,Speech,biscuit,biscuit,Locale_SubScenario:event_lionheart_02_e_10,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_11,40037,event_lionheart_02_e,Self,biscuit,,Locale_SubScenario:event_lionheart_02_e_11,False,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_12,40037,event_lionheart_02_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_e_12,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_13,40037,event_lionheart_02_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_e_13,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_14,40037,event_lionheart_02_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_e_14,True,,1,idle,,13,idle,,3,idle,,12,12,1.0,,,,,
event_lionheart_02_e_15,40037,event_lionheart_02_e,Speech,leona_no,leona_no,Locale_SubScenario:event_lionheart_02_e_15,True,,1,idle,,13,idle,,3,idle,,12,Leo_10,1.0,,,,,
event_lionheart_02_e_16,40037,event_lionheart_02_e,Narration,leona_no,,Locale_SubScenario:event_lionheart_02_e_16,False,,1,idle,,13,idle,,3,idle,Restaurant,black,black,1.0,,sfx_scn_toyshopbell,,,
event_lionheart_02_e_17,40037,event_lionheart_02_e,Speech,staff,staff,Locale_SubScenario:event_lionheart_02_e_17,True,,1,idle,,13,idle,,3,idle,,Leo_10,Leo_10,1.0,,,,,
event_lionheart_02_e_18,40037,event_lionheart_02_e,Speech,staff,staff,Locale_SubScenario:event_lionheart_02_e_18,True,,1,idle,,13,idle,,3,idle,,Leo_10,Leo_10,1.0,,,,,
event_lionheart_02_e_19,40037,event_lionheart_02_e,Self,staff,,Locale_SubScenario:event_lionheart_02_e_19,False,,1,idle,,13,idle,,3,idle,,Leo_10,Leo_10,1.0,,,,,
