id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/2/hide_char_id,characters/7/hide_char_id,characters/1/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
event_absolute2_05_e_1,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_1,False,emma_t,3,angry,vesti_t,5,angry_02,RuinTechIndoor,black,black,1.0,sfx_scn_footstepmany,bgm_story_devastat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_2,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_2,False,,3,angry,,5,angry_02,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_3,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_3,False,,3,angry,,5,angry_02,,black,black,1.0,sfx_scn_predatorgrowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_4,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_4,False,,3,angry,,5,angry_02,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_5,40086,event_absolute2_05_e,Speech,Locale_MainScenario:event_absolute2_05_e_5,True,,3,angry,,5,angry_02,,300,30,1.0,,,emma_t,emma_t,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_6,40086,event_absolute2_05_e,Speech,Locale_MainScenario:event_absolute2_05_e_6,True,,3,angry,,5,angry_02,,30,53,1.0,,,vesti_t,vesti_t,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_7,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_7,False,,3,angry,,5,angry_02,,53,53,1.0,,,vesti_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_8,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_8,False,,3,angry,,5,angry_02,,53,53,1.0,,,vesti_t,,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_9,40086,event_absolute2_05_e,Speech,Locale_MainScenario:event_absolute2_05_e_9,True,,3,angry,,5,rage,,53,5,1.0,,,vesti_t,vesti_t,,,,,,,,,,,,,,,,,,,,,,,,,,,
event_absolute2_05_e_10,40086,event_absolute2_05_e,Narration,Locale_MainScenario:event_absolute2_05_e_10,False,,3,angry,,5,rage,,5,5,1.0,sfx_scn_explosions,,vesti_t,,Low_2,,,,,,,,,,,,,,,,,,,,,,,,,,
