id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,play_sound,characters/1/hide_char_id
event_lifeagain_03_s_1,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_1,False,rumani,5,idle,nadia,3,angry,Park,black,black,1.0,none,,,,
event_lifeagain_03_s_2,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_2,False,,5,idle,,3,angry,,black,black,1.0,,rumani,,,
event_lifeagain_03_s_3,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_3,False,,5,idle,,3,angry,,17,17,1.0,bgm_story_kneeldownfools,rumani,,,
event_lifeagain_03_s_4,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_4,False,,5,idle,,3,angry,,17,17,1.0,,rumani,,,
event_lifeagain_03_s_5,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_5,True,,5,idle,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_6,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_6,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_7,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_7,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_8,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_8,False,,5,think,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_9,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_9,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_10,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_10,True,,5,think,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_11,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_11,True,,5,think,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_12,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_12,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_13,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_13,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_14,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_14,True,,5,think,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_15,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_15,False,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_16,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_16,False,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_17,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_17,False,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_18,40060,event_lifeagain_03_s,Choice,,Locale_SubScenario:event_lifeagain_03_s_18,False,,5,think,,3,angry,,4,4,1.0,,rumani,event_lifeagain_03_s_20,,
event_lifeagain_03_s_19,40060,event_lifeagain_03_s,Choice,,Locale_SubScenario:event_lifeagain_03_s_19,False,,5,think,,3,angry,,4,4,1.0,,rumani,event_lifeagain_03_s_20,,
event_lifeagain_03_s_20,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_20,True,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_21,40060,event_lifeagain_03_s,Narration,Narration,Locale_SubScenario:event_lifeagain_03_s_21,False,,5,think,,3,angry,,4,4,1.0,,rumani,,sfx_scn_hungry,
event_lifeagain_03_s_22,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_22,False,,5,think,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_23,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_23,False,,5,think,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_24,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_24,False,,5,surprise,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_25,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_25,True,,5,surprise,,3,angry,,4,L_50,1.0,,rumani,,,
event_lifeagain_03_s_26,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_26,False,,5,surprise,,3,angry,,L_50,L_50,1.0,,rumani,,,
event_lifeagain_03_s_27,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_27,True,,5,think,,3,angry,,L_50,L_50,1.0,,rumani,,,
event_lifeagain_03_s_28,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_28,False,,5,think,,3,sad,,XS_30,XS_30,1.0,,nadia,,,
event_lifeagain_03_s_29,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_29,True,,5,think,,3,angry,,XS_30,XS_30,1.0,,nadia,,,
event_lifeagain_03_s_30,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_30,True,,5,idle,,3,angry,,XS_30,4,1.0,,rumani,,,
event_lifeagain_03_s_31,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_31,True,,5,idle,,3,angry,,4,4,1.0,,rumani,,,
event_lifeagain_03_s_32,40060,event_lifeagain_03_s,Speech,nadia,Locale_SubScenario:event_lifeagain_03_s_32,True,,5,idle,,3,angry,,4,4,1.0,,nadia,,,
event_lifeagain_03_s_33,40060,event_lifeagain_03_s,Monologue,Monologue,Locale_SubScenario:event_lifeagain_03_s_33,False,,5,idle,,3,angry,,4,4,1.0,none,nadia,,sfx_scn_wheelchiardry,nadia
event_lifeagain_03_s_34,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_34,True,,5,worry,,,,,4,L_50,1.0,,rumani,,,
event_lifeagain_03_s_35,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_35,True,,5,idle,,,,,L_50,L_50,1.0,bgm_story_backtonormal,rumani,,,
event_lifeagain_03_s_36,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_36,False,,5,idle,,,,,L_50,L_50,1.0,,,,,
event_lifeagain_03_s_37,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_37,True,,5,idle,,,,,L_50,L_50,1.0,,rumani,,,
event_lifeagain_03_s_38,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_38,False,,5,idle,,,,,L_50,L_50,1.0,,,,,
event_lifeagain_03_s_39,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_39,False,,5,idle,,,,,L_50,L_50,1.0,,,,,
event_lifeagain_03_s_40,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_40,True,,5,idle,,,,,L_50,L_50,1.0,,rumani,,,
event_lifeagain_03_s_41,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_41,False,,5,idle,,,,,L_50,L_50,1.0,,,,,
event_lifeagain_03_s_42,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_42,True,,5,idle,,,,,L_50,L_500,1.0,,rumani,,,
event_lifeagain_03_s_43,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_43,True,,5,idle,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_44,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_44,True,,5,idle,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_45,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_45,True,,5,idle,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_46,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_46,True,,5,idle,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_47,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_47,True,,5,idle,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_48,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_48,True,,5,think,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_49,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_49,True,,5,worry,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_50,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_50,True,,5,worry,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_51,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_51,True,,5,worry,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_52,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_52,True,,5,think,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_53,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_53,True,,5,think,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_54,40060,event_lifeagain_03_s,Self,Self,Locale_SubScenario:event_lifeagain_03_s_54,False,,5,think,,,,,L_500,L_500,1.0,,rumani,,,
event_lifeagain_03_s_55,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_55,True,,5,idle,,,,,L_500,L_50,1.0,,rumani,,,
event_lifeagain_03_s_56,40060,event_lifeagain_03_s,Speech,rumani,Locale_SubScenario:event_lifeagain_03_s_56,True,,5,idle,,,,,L_50,L_50,1.0,,rumani,,,
