id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_contents_bbqmaster_02_1,80603,d_contents_bbqmaster_02,,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_1,True,LogHouseOut_n,,,,,,12,12,0,,,,100,bgm_story_summermood,,None,None,,None,False,anis_s,,3,idle,pepper_s,,1,idle,mary_s,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_2,80603,d_contents_bbqmaster_02,,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_2,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_3,80603,d_contents_bbqmaster_02,,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_3,True,,,,,,,12,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_4,80603,d_contents_bbqmaster_02,,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_4,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_5,80603,d_contents_bbqmaster_02,,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_5,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_6,80603,d_contents_bbqmaster_02,,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_6,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_7,80603,d_contents_bbqmaster_02,,Speech,anis_s,anis_s,Locale_SubScenario:d_contents_bbqmaster_02_7,True,,,,,,,XS_10,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_8,80603,d_contents_bbqmaster_02,,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_8,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,shy,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_9,80603,d_contents_bbqmaster_02,,Speech,pepper_s,pepper_s,Locale_SubScenario:d_contents_bbqmaster_02_9,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,shy,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bbqmaster_02_10,80603,d_contents_bbqmaster_02,,Speech,mary_s,mary_s,Locale_SubScenario:d_contents_bbqmaster_02_10,True,,,,,,,2,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,shy,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
