id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight
event_nocallerid_02_e_1,40001,event_nocallerid_02_e,Narration,Narration,Locale_SubScenario:event_nocallerid_02_e_1,False,neon,3,idle,anis,1,idle,rapi,13,idle,Desert_01,13,13,1.0,sfx_scn_phonevibration,bgm_distress,
event_nocallerid_02_e_2,40001,event_nocallerid_02_e,Speech,rapi,Locale_SubScenario:event_nocallerid_02_e_2,True,,3,idle,,1,idle,,13,idle,,13,13,2.0,,,rapi
event_nocallerid_02_e_3,40001,event_nocallerid_02_e,Narration,Narration,Locale_SubScenario:event_nocallerid_02_e_3,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,sfx_scn_crackle,,
event_nocallerid_02_e_4,40001,event_nocallerid_02_e,Narration,Narration,Locale_SubScenario:event_nocallerid_02_e_4,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,
event_nocallerid_02_e_5,40001,event_nocallerid_02_e,Narration,Narration,Locale_SubScenario:event_nocallerid_02_e_5,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,
event_nocallerid_02_e_6,40001,event_nocallerid_02_e,Self,Self,Locale_SubScenario:event_nocallerid_02_e_6,False,,3,idle,,1,idle,,13,idle,,1,1,1.0,,,
event_nocallerid_02_e_7,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_7,True,,3,idle,,1,worry,,13,idle,,1,10,2.0,,,anis
event_nocallerid_02_e_8,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_8,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,anis
event_nocallerid_02_e_9,40001,event_nocallerid_02_e,Speech,rapi,Locale_SubScenario:event_nocallerid_02_e_9,True,,3,idle,,1,worry,,13,idle,,10,130,1.0,,,rapi
event_nocallerid_02_e_10,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_10,True,,3,surprise,,1,void,,13,idle,,S_30,S_30,1.0,,,neon
event_nocallerid_02_e_11,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_11,True,,3,delight,,1,void,,13,idle,,S_30,S_30,1.0,,,neon
event_nocallerid_02_e_12,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_12,True,,3,delight,,1,void,,13,idle,,S_30,10,1.5,,,anis
event_nocallerid_02_e_13,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_13,True,,3,surprise,,1,void,,13,idle,,10,S_30,0.3,,,neon
event_nocallerid_02_e_14,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_14,True,,3,surprise,,1,void,,13,idle,,S_30,S_300,0.5,,,neon
event_nocallerid_02_e_15,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_15,False,,3,surprise,,1,void,,13,idle,,10,10,1.0,,,anis
event_nocallerid_02_e_16,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_16,True,,3,surprise,,1,idle,,13,idle,,10,10,1.0,,,anis
event_nocallerid_02_e_17,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_17,True,,3,idle,,1,idle,,13,idle,,10,2,1.0,,,neon
event_nocallerid_02_e_18,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_18,True,,3,idle,,1,worry,,13,idle,,2,2,1.0,,,anis
event_nocallerid_02_e_19,40001,event_nocallerid_02_e,Speech,anis,Locale_SubScenario:event_nocallerid_02_e_19,True,,3,idle,,1,worry,,13,idle,,2,2,1.0,,,anis
event_nocallerid_02_e_20,40001,event_nocallerid_02_e,Self,Self,Locale_SubScenario:event_nocallerid_02_e_20,False,,3,idle,,1,worry,,13,idle,,2,2,1.0,,,
event_nocallerid_02_e_21,40001,event_nocallerid_02_e,Speech,neon,Locale_SubScenario:event_nocallerid_02_e_21,True,,3,delight,,1,worry,,13,idle,,2,3,1.0,,,neon
