id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
event_hightechtoy_04_e_1,40002,event_hightechtoy_04_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_04_e_1,True,maxwell_w,1,idle,drake,3,idle,laplace,13,idle,massproduction01,15,idle,CityForest_03,10,10,1.0,bgm_inark
event_hightechtoy_04_e_2,40002,event_hightechtoy_04_e,Self,,,Locale_SubScenario:event_hightechtoy_04_e_2,False,,1,idle,,3,idle,,13,idle,,15,idle,,10,10,1.0,
event_hightechtoy_04_e_3,40002,event_hightechtoy_04_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_04_e_3,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,10,1.0,
event_hightechtoy_04_e_4,40002,event_hightechtoy_04_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_04_e_4,True,,1,idle,,3,idle,,13,idle,,15,idle,,10,31,1.0,
event_hightechtoy_04_e_5,40002,event_hightechtoy_04_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_04_e_5,True,,1,idle,,3,angry,,13,idle,,15,idle,,31,31,1.0,
event_hightechtoy_04_e_6,40002,event_hightechtoy_04_e,Speech,maxwell_w,maxwell_w,Locale_SubScenario:event_hightechtoy_04_e_6,True,,1,idle,,3,angry,,13,idle,,15,idle,,31,31,1.0,
event_hightechtoy_04_e_7,40002,event_hightechtoy_04_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_04_e_7,True,,1,idle,,3,no,,13,idle,,15,idle,,31,31,1.0,
event_hightechtoy_04_e_8,40002,event_hightechtoy_04_e,Monologue,,,Locale_SubScenario:event_hightechtoy_04_e_8,False,,1,idle,,3,no,,13,idle,,15,idle,,black,black,1.0,
event_hightechtoy_04_e_9,40002,event_hightechtoy_04_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_04_e_9,False,,1,idle,,3,idle,,13,idle,,15,idle,,black,black,1.0,
event_hightechtoy_04_e_10,40002,event_hightechtoy_04_e,Self,,,Locale_SubScenario:event_hightechtoy_04_e_10,False,,1,idle,,3,idle,,13,idle,,15,idle,,black,black,1.0,
event_hightechtoy_04_e_11,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_11,True,,1,idle,,3,idle,,13,angry,,15,idle,,S_130,S_130,1.0,
event_hightechtoy_04_e_12,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_12,True,,1,idle,,3,idle,,13,angry,,15,idle,,S_130,S_1300,0.5,
event_hightechtoy_04_e_13,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_13,True,,1,idle,,3,idle,,13,angry,,15,idle,,S_1300,S_1300,1.0,
event_hightechtoy_04_e_14,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_14,True,,1,idle,,3,idle,,13,angry,,15,idle,,S_1300,S_1300,1.0,
event_hightechtoy_04_e_15,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_15,True,,1,idle,,3,idle,,13,angry,,15,idle,,S_1300,S_130,0.5,
event_hightechtoy_04_e_16,40002,event_hightechtoy_04_e,Self,,,Locale_SubScenario:event_hightechtoy_04_e_16,False,,1,idle,,3,idle,,13,angry,,15,idle,,S_130,S_130,1.0,
event_hightechtoy_04_e_17,40002,event_hightechtoy_04_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_04_e_17,False,,1,idle,,3,idle,,13,angry,,15,idle,,S_130,150,1.0,
event_hightechtoy_04_e_18,40002,event_hightechtoy_04_e,Speech,massproduction01,massproduction01,Locale_SubScenario:event_hightechtoy_04_e_18,True,,1,idle,,3,idle,,13,angry,,15,idle,,150,150,1.0,
event_hightechtoy_04_e_19,40002,event_hightechtoy_04_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_04_e_19,True,,1,idle,,3,delight,,13,angry,,15,idle,,3,30,0.5,
event_hightechtoy_04_e_20,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_20,True,,1,idle,,3,delight,,13,idle,,15,idle,,S_130,S_130,1.0,
event_hightechtoy_04_e_21,40002,event_hightechtoy_04_e,Speech,drake,drake,Locale_SubScenario:event_hightechtoy_04_e_21,True,,1,idle,,3,delight,,13,idle,,15,idle,,30,30,1.0,
event_hightechtoy_04_e_22,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_22,True,,1,idle,,3,delight,,13,idle,,15,idle,,S_130,S_130,1.0,
event_hightechtoy_04_e_23,40002,event_hightechtoy_04_e,Speech,laplace,laplace,Locale_SubScenario:event_hightechtoy_04_e_23,True,,1,idle,,3,delight,,13,idle,,15,idle,,S_130,S_1300,0.5,
