id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_BunnyX777_06_s_1,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_1,True,CoinRushIndoor,,,,,,130,130,0,,,,100,bgm_story_fairytalesend_if,,None,None,,None,False,blanc,,1,think,noir,,3,surprise,sullenman,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_2,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_2,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_3,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_3,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_4,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_4,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_5,40014,event_BunnyX777_06_s,,Self,,,Locale_SubScenario:event_BunnyX777_06_s_5,False,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_6,40014,event_BunnyX777_06_s,,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_s_6,True,,,,,,,130,113,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_7,40014,event_BunnyX777_06_s,,Speech,blanc,blanc,Locale_SubScenario:event_BunnyX777_06_s_7,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_8,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_8,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_9,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_9,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_10,40014,event_BunnyX777_06_s,,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_s_10,True,,,,,,,113,113,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_11,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_11,True,,,,,,,113,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_12,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_12,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_13,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_13,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_14,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_14,True,,,,,,,130,1300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_15,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_15,True,,,,,,,1300,1300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_16,40014,event_BunnyX777_06_s,,Speech,noir,noir,Locale_SubScenario:event_BunnyX777_06_s_16,True,,,,,,,1300,1300,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_17,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_17,True,,,,,,,1300,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_BunnyX777_06_s_18,40014,event_BunnyX777_06_s,,Speech,sullenman,sullenman,Locale_SubScenario:event_BunnyX777_06_s_18,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,think,,,3,surprise,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
