id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_ce003_2_02_e_1,40042,event_ce003_2_02_e,,Narration,,,Locale_SubScenario:event_ce003_2_02_e_1,False,land_d,,,,,,black,black,0,,,,100,bgm_frostpillar,,None,None,,None,False,ce_003_01,,1,surprise,ce_003_02,,13,idle,ce_003_03,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_2,40042,event_ce003_2_02_e,,Speech,ce_003_02,ce_003_02,Locale_SubScenario:event_ce003_2_02_e_2,True,,,,,,,13,130,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_3,40042,event_ce003_2_02_e,,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_e_3,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_4,40042,event_ce003_2_02_e,,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_2_02_e_4,False,,,,,,,S_10,S_50,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_5,40042,event_ce003_2_02_e,,Monologue,ce_003_01,,Locale_SubScenario:event_ce003_2_02_e_5,False,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_6,40042,event_ce003_2_02_e,,Self,ce_003_01,,Locale_SubScenario:event_ce003_2_02_e_6,False,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_7,40042,event_ce003_2_02_e,,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_e_7,True,,,,,,,S_50,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_8,40042,event_ce003_2_02_e,,Self,ce_003_01,,Locale_SubScenario:event_ce003_2_02_e_8,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_9,40042,event_ce003_2_02_e,,Speech,ce_003_03,ce_003_03,Locale_SubScenario:event_ce003_2_02_e_9,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,surprise,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_ce003_2_02_e_10,40042,event_ce003_2_02_e,,Speech,ce_003_01,ce_003_01,Locale_SubScenario:event_ce003_2_02_e_10,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,angry,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
