id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade
event_newflavor_05_e_1,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_1,True,bready,2,idle,crust,12,idle,CityForest_03_d,1,1,1.0,bgm_frostpillar,,
event_newflavor_05_e_2,40073,event_newflavor_05_e,Narration,crust,,Locale_SubScenario:event_newflavor_05_e_2,False,,2,idle,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_3,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_3,True,,2,idle,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_4,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_4,True,,2,no,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_5,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_5,True,,2,no,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_6,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_6,True,,2,no,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_7,40073,event_newflavor_05_e,Narration,crust,,Locale_SubScenario:event_newflavor_05_e_7,False,,2,idle,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_8,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_8,True,,2,idle,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_9,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_9,True,,2,idle,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_10,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_10,True,,2,idle,,12,sad,,1,XS_120,1.3,,,
event_newflavor_05_e_11,40073,event_newflavor_05_e,Self,crust,,Locale_SubScenario:event_newflavor_05_e_11,False,,2,idle,,12,sad,,XS_120,XS_120,1.0,,,
event_newflavor_05_e_12,40073,event_newflavor_05_e,Self,crust,,Locale_SubScenario:event_newflavor_05_e_12,False,,2,idle,,12,sad,,XS_120,XS_120,1.0,,,
event_newflavor_05_e_13,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_13,True,,2,idle,,12,idle,,XS_120,XS_120,1.0,,,
event_newflavor_05_e_14,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_14,True,,2,idle,,12,delight,,XS_120,XS_120,1.0,,,
event_newflavor_05_e_15,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_15,True,,2,idle,,12,delight,,XS_120,S_20,1.3,,,
event_newflavor_05_e_16,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_16,True,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_17,40073,event_newflavor_05_e,Self,bready,,Locale_SubScenario:event_newflavor_05_e_17,False,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_18,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_18,True,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_19,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_19,True,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_20,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_20,True,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_21,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_21,True,,2,idle,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_22,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_22,True,,2,no,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_23,40073,event_newflavor_05_e,Self,bready,,Locale_SubScenario:event_newflavor_05_e_23,False,,2,no,,12,delight,,S_20,S_20,1.0,,,
event_newflavor_05_e_24,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_24,True,,2,no,,12,idle,,S_20,1,1.3,,,
event_newflavor_05_e_25,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_25,True,,2,no,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_26,40073,event_newflavor_05_e,Self,bready,,Locale_SubScenario:event_newflavor_05_e_26,False,,2,no,,12,idle,,1,1,1.0,,,
event_newflavor_05_e_27,40073,event_newflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_05_e_27,True,,2,no,,12,think,,1,1,1.0,,,
event_newflavor_05_e_28,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_28,True,,2,no,,12,think,,1,1,1.0,,,
event_newflavor_05_e_29,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_29,True,,2,no,,12,think,,1,1,1.0,,,
event_newflavor_05_e_30,40073,event_newflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_05_e_30,True,,2,no,,12,think,,1,1,1.0,,,
