id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade
event_ce003_1_01_e_1,40041,event_ce003_1_01_e,Narration,Locale_SubScenario:event_ce003_1_01_e_1,False,rapi,1,idle,anis,13,angry,neon,15,idle,ce_003_01,3,angry,ce_003_02,5,worry,ce_003_03,7,idle,Desert_05,black,black,1.0,sfx_scn_1shot,bgm_emergency,,,
event_ce003_1_01_e_2,40041,event_ce003_1_01_e,Narration,Locale_SubScenario:event_ce003_1_01_e_2,False,,1,idle,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,black,black,1.0,sfx_scn_rapturehowl,,,,
event_ce003_1_01_e_3,40041,event_ce003_1_01_e,Narration,Locale_SubScenario:event_ce003_1_01_e_3,False,,1,idle,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,black,black,1.0,sfx_scn_gunfire,,,,
event_ce003_1_01_e_4,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_4,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,130,14,1.0,,,anis,anis,
event_ce003_1_01_e_5,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_5,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,14,14,1.0,,,neon,neon,
event_ce003_1_01_e_6,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_6,True,,1,angry,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,14,12,1.0,,,rapi,rapi,
event_ce003_1_01_e_7,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_7,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,worry,,7,idle,,50,50,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_8,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_8,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,50,50,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_9,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_9,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,50,50,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_10,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_10,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,50,S_30,1.0,,,ce_003_01,ce_003_01,
event_ce003_1_01_e_11,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_11,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,70,70,1.0,,,ce_003_03,ce_003_03,
event_ce003_1_01_e_12,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_12,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,S_30,S_30,1.0,,,ce_003_01,ce_003_01,
event_ce003_1_01_e_13,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_13,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,S_30,50,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_14,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_14,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,50,70,1.0,,,ce_003_03,ce_003_03,
event_ce003_1_01_e_15,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_15,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,S_30,S_30,1.0,,,ce_003_01,ce_003_01,
event_ce003_1_01_e_16,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_16,True,,1,idle,,13,angry,,15,idle,,3,angry,,5,angry,,7,idle,,S_30,4,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_17,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_17,True,,1,idle,,13,void,,15,idle,,3,angry,,5,idle,,7,idle,,10,10,1.0,,bgm_frostpillar,rapi,rapi,black
event_ce003_1_01_e_18,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_18,True,,1,idle,,13,void,,15,idle,,3,surprise,,5,idle,,7,idle,,50,50,1.0,,,ce_003_02,ce_003_02,
event_ce003_1_01_e_19,40041,event_ce003_1_01_e,Speech,Locale_SubScenario:event_ce003_1_01_e_19,True,,1,idle,,13,void,,15,idle,,3,surprise,,5,idle,,7,idle,,10,10,1.0,,,rapi,rapi,
event_ce003_1_01_e_20,40041,event_ce003_1_01_e,Monologue,Locale_SubScenario:event_ce003_1_01_e_20,False,,1,think,,13,void,,15,idle,,3,surprise,,5,idle,,7,idle,,10,12,2.0,sfx_scn_gunhandling,,rapi,,
