id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,conversation_id,set_filter_01,fade,set_camera_shake
event_dirtybackyard_04_e_1,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_1,False,moran,5,angry,sugar_g,3,angry,Backstreet_n,black,black,1.0,none,,,,,,,
event_dirtybackyard_04_e_2,40038,event_dirtybackyard_04_e,Monologue,Locale_SubScenario:event_dirtybackyard_04_e_2,False,,5,angry,,3,angry,,black,black,1.0,,,,,,,,
event_dirtybackyard_04_e_3,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_3,False,,5,angry,,3,angry,,S_30,S_30,1.0,bgm_risk,sugar_g,sugar_g,,,,,
event_dirtybackyard_04_e_4,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_4,True,,5,angry,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_5,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_5,True,,5,angry,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_6,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_6,False,,5,angry,,3,angry,,50,50,1.0,,,,,,,,
event_dirtybackyard_04_e_7,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_7,False,,5,angry,,3,angry,,50,50,1.0,,,,,,,,
event_dirtybackyard_04_e_8,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_8,True,,5,worry,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_9,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_9,True,,5,worry,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_10,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_10,True,,5,worry,,3,angry,,50,4,1.0,,sugar_g,sugar_g,,,,,
event_dirtybackyard_04_e_11,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_11,True,,5,worry,,3,angry,,4,4,1.0,,sugar_g,sugar_g,,,,,
event_dirtybackyard_04_e_12,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_12,True,,5,think,,3,angry,,4,4,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_13,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_13,True,,5,think,,3,angry,,4,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_14,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_14,True,,5,think,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_15,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_15,True,,5,think,,3,angry,,50,50,1.0,,moran,moran,,,,,
event_dirtybackyard_04_e_16,40038,event_dirtybackyard_04_e,Speech,Locale_SubScenario:event_dirtybackyard_04_e_16,True,,5,think,,3,idle,,S_30,S_30,1.0,,sugar_g,sugar_g,,,,,
event_dirtybackyard_04_e_17,40038,event_dirtybackyard_04_e,Narration,Locale_SubScenario:event_dirtybackyard_04_e_17,False,,5,think,,3,idle,,15,150,0.3,,,,sfx_scn_phonevibration,,,,
event_dirtybackyard_04_e_18,40038,event_dirtybackyard_04_e,Narration,Locale_SubScenario:event_dirtybackyard_04_e_18,False,,5,think,,3,idle,,150,150,1.0,,,,sfx_scn_phonevibration,,,,
event_dirtybackyard_04_e_19,40038,event_dirtybackyard_04_e,Self,Locale_SubScenario:event_dirtybackyard_04_e_19,False,,5,think,,3,idle,,150,150,1.0,,,,,m_event_dirtybackyard_04_e,,,
