id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/hide_char_id,fade,jump_target,play_sound
event_romanticvalentine_06_e_1,40069,event_romanticvalentine_06_e,Monologue,Locale_SubScenario:event_romanticvalentine_06_e_1,False,sweetjohnny214,1,idle,CommanderRoom,black,black,1.0,none,,,,,,
event_romanticvalentine_06_e_2,40069,event_romanticvalentine_06_e,Speech,Locale_SubScenario:event_romanticvalentine_06_e_2,True,,1,idle,,10,10,1.0,,sweetjohnny214,sweetjohnny214,,,,
event_romanticvalentine_06_e_3,40069,event_romanticvalentine_06_e,Self,Locale_SubScenario:event_romanticvalentine_06_e_3,False,,1,idle,,10,10,1.0,,sweetjohnny214,,,,,
event_romanticvalentine_06_e_4,40069,event_romanticvalentine_06_e,Speech,Locale_SubScenario:event_romanticvalentine_06_e_4,True,,1,idle,,10,10,1.0,,sweetjohnny214,sweetjohnny214,,,,
event_romanticvalentine_06_e_5,40069,event_romanticvalentine_06_e,Self,Locale_SubScenario:event_romanticvalentine_06_e_5,False,,1,idle,,10,10,1.0,,sweetjohnny214,,,,,
event_romanticvalentine_06_e_6,40069,event_romanticvalentine_06_e,Speech,Locale_SubScenario:event_romanticvalentine_06_e_6,True,,1,idle,,10,10,1.0,,sweetjohnny214,sweetjohnny214,,,,
event_romanticvalentine_06_e_7,40069,event_romanticvalentine_06_e,Speech,Locale_SubScenario:event_romanticvalentine_06_e_7,True,,1,idle,,10,10,1.0,,sweetjohnny214,sweetjohnny214,,,,
event_romanticvalentine_06_e_8,40069,event_romanticvalentine_06_e,Monologue,Locale_SubScenario:event_romanticvalentine_06_e_8,False,,1,idle,,black,black,1.0,,sweetjohnny214,,,,,
event_romanticvalentine_06_e_9,40069,event_romanticvalentine_06_e,Monologue,Locale_SubScenario:event_romanticvalentine_06_e_9,False,,1,idle,,black,black,1.0,,sweetjohnny214,,,,,
event_romanticvalentine_06_e_10,40069,event_romanticvalentine_06_e,Self,Locale_SubScenario:event_romanticvalentine_06_e_10,False,,1,idle,,10,10,1.0,,sweetjohnny214,,,,,
event_romanticvalentine_06_e_11,40069,event_romanticvalentine_06_e,Speech,Locale_SubScenario:event_romanticvalentine_06_e_11,True,,1,idle,,10,10,1.0,,sweetjohnny214,sweetjohnny214,,,,
