id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/hide_char_id,fade,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_lordforjustice_03_s_1,40078,event_lordforjustice_03_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_03_s_1,False,moran_c,3,think,k,1,idle,Backstreet,black,black,1.0,none,,,,,,,,
event_lordforjustice_03_s_2,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_2,True,,3,think,,1,idle,,3,30,1.3,,moran_c,,,,,,,
event_lordforjustice_03_s_3,40078,event_lordforjustice_03_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_03_s_3,False,,3,think,,1,idle,,30,30,1.0,bgm_recognition_underworld,,sfx_scn_bell,,,,,,
event_lordforjustice_03_s_4,40078,event_lordforjustice_03_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_03_s_4,False,,3,think,,1,idle,,30,30,1.0,,,,,,,,,
event_lordforjustice_03_s_5,40078,event_lordforjustice_03_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_03_s_5,False,,3,think,,1,idle,,30,30,1.0,,,sfx_scn_bell,,,,,,
event_lordforjustice_03_s_6,40078,event_lordforjustice_03_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_03_s_6,False,,3,think,,1,idle,,30,30,1.0,,,,,,,,,
event_lordforjustice_03_s_7,40078,event_lordforjustice_03_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_03_s_7,False,,3,think,,1,idle,,30,30,1.0,,,,,,,,,
event_lordforjustice_03_s_8,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_8,True,,3,think,,1,idle,,30,30,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_9,40078,event_lordforjustice_03_s,Self,moran_c,Locale_SubScenario:event_lordforjustice_03_s_9,False,,3,think,,1,idle,,30,30,1.0,,,,,,,,,
event_lordforjustice_03_s_10,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_10,True,,3,think,,1,idle,,30,30,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_11,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_11,True,,3,think,,1,idle,,30,30,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_12,40078,event_lordforjustice_03_s,Speech,k,Locale_SubScenario:event_lordforjustice_03_s_12,True,,3,think,,1,delight,,30,2,1.3,,k,,,,,,,
event_lordforjustice_03_s_13,40078,event_lordforjustice_03_s,Speech,k,Locale_SubScenario:event_lordforjustice_03_s_13,True,,3,think,,1,delight,,2,2,1.0,,k,,,,,,,
event_lordforjustice_03_s_14,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_14,True,,3,think,,1,delight,,2,2,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_15,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_15,True,,3,delight,,1,delight,,2,2,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_16,40078,event_lordforjustice_03_s,Speech,k,Locale_SubScenario:event_lordforjustice_03_s_16,False,,3,delight,,1,think,,2,2,1.0,,k,,,,,,,
event_lordforjustice_03_s_17,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_17,True,,3,think,,1,think,,2,2,1.0,,moran_c,,,,,,,
event_lordforjustice_03_s_18,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_18,True,,3,angry,,1,think,,2,30,1.3,,moran_c,,,,,,,
event_lordforjustice_03_s_19,40078,event_lordforjustice_03_s,Narration,moran_c,Locale_SubScenario:event_lordforjustice_03_s_19,False,,3,angry,,1,think,,black,black,1.0,,,sfx_scn_doorpower,moran_c,,,,,
event_lordforjustice_03_s_20,40078,event_lordforjustice_03_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_03_s_20,False,,,,,1,think,,black,black,1.0,,,,,,,,,
event_lordforjustice_03_s_21,40078,event_lordforjustice_03_s,Monologue,moran_c,Locale_SubScenario:event_lordforjustice_03_s_21,False,,,,,1,think,,black,black,1.0,,,,,,,,,
event_lordforjustice_03_s_22,40078,event_lordforjustice_03_s,Speech,moran_c,Locale_SubScenario:event_lordforjustice_03_s_22,True,,,,,1,think,,S_40,S_40,1.0,,moran_c,,,,,,,
