id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
snowfall_speech_ludmilla_10_11,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_11,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_12,80903,snowfall_speech_ludmilla_10,,Monologue,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_12,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_13,80903,snowfall_speech_ludmilla_10,,Monologue,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_13,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_14,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_14,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_15,80903,snowfall_speech_ludmilla_10,,Self,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_15,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_16,80903,snowfall_speech_ludmilla_10,,Monologue,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_16,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_17,80903,snowfall_speech_ludmilla_10,,Monologue,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_17,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_18,80903,snowfall_speech_ludmilla_10,,Choice,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_18,False,,,,,,,10,10,0,,,,100,,,None,None,snowfall_speech_ludmilla_10_20,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_19,80903,snowfall_speech_ludmilla_10,,Choice,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_19,False,,,,,,,10,10,0,,,,100,,,None,None,snowfall_speech_ludmilla_10_24,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_20,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_20,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_21,80903,snowfall_speech_ludmilla_10,,Self,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_21,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_22,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_22,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_23,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_23,True,,,,,,,10,10,0,,,,100,,,None,None,snowfall_speech_ludmilla_10_27,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_24,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_24,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_25,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_25,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_26,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_26,True,,,,,,,10,10,0,,,,100,,,None,None,snowfall_speech_ludmilla_10_27,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_27,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_27,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_28,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_28,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_29,80903,snowfall_speech_ludmilla_10,,Speech,ludmilla_w,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_10_29,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
snowfall_speech_ludmilla_10_30,80903,snowfall_speech_ludmilla_10,,Narration,ludmilla_w,,Locale_SubScenario:snowfall_speech_ludmilla_10_30,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
