id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,fade,characters/2/hide_char_id,characters/3/hide_char_id,set_filter_01,set_filter_02
event_overzone1_06_e_1,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_1,True,dorothy,1,idle,Desert_05,1,100,1.0,ambient_scn_wind,,,,,,,,,,,,,,,,,
event_overzone1_06_e_2,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_2,True,,1,idle,,100,100,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_3,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_3,False,,1,think,,100,10,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_4,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_4,False,,1,worry,,10,10,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_5,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_5,True,,1,idle,,10,1,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_6,80303,event_overzone1_06_e,Speech,pinne,pinne,Locale_MainScenario:event_overzone1_06_e_6,True,,1,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_7,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_7,True,,1,idle,,1,10,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_8,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_8,True,,1,think,,10,10,1.0,,,,,,,,,,,,,,,,,,
event_overzone1_06_e_9,80303,event_overzone1_06_e,Speech,pinne,pinne,Locale_MainScenario:event_overzone1_06_e_9,True,,1,think,,10,113,2.0,,pinne,13,special,,,,,,,,,,,,,,
event_overzone1_06_e_10,80303,event_overzone1_06_e,Speech,dorothy,dorothy,Locale_MainScenario:event_overzone1_06_e_10,False,,1,worry,,113,113,1.0,,,13,special,,,,,,,,,,,,,,
