id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,conversation_id,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_camera_shake
event_bowwowparadise_05_s_1,40010,event_bowwowparadise_05_s,Monologue,Locale_SubScenario:event_bowwowparadise_05_s_1,False,puppies,5,sad,max,3,surprise,biscuit,1,sad,OutpostOut,m_event_bowwowparadise_05_s,1,XS_10,2.0,bgm_story_whosdumber,,,,,,,,
event_bowwowparadise_05_s_2,40010,event_bowwowparadise_05_s,Speech,Locale_SubScenario:event_bowwowparadise_05_s_2,False,,5,sad,,3,surprise,,1,sad,,,XS_10,4,1.0,,puppies,puppies,sfx_scn_whine,,,,,
event_bowwowparadise_05_s_3,40010,event_bowwowparadise_05_s,Speech,Locale_SubScenario:event_bowwowparadise_05_s_3,True,,5,special,,3,surprise,,1,angry,,,4,4,1.0,,biscuit,biscuit,,,,,,
event_bowwowparadise_05_s_4,40010,event_bowwowparadise_05_s,Monologue,Locale_SubScenario:event_bowwowparadise_05_s_4,False,,5,special,,3,surprise,,1,angry,,,4,4,1.0,,biscuit,,,,,,,
event_bowwowparadise_05_s_5,40010,event_bowwowparadise_05_s,Choice,Locale_SubScenario:event_bowwowparadise_05_s_5,False,,5,special,,3,surprise,,1,angry,,,4,4,1.0,,biscuit,,,event_bowwowparadise_05_s_7,,,,
event_bowwowparadise_05_s_6,40010,event_bowwowparadise_05_s,Choice,Locale_SubScenario:event_bowwowparadise_05_s_6,False,,5,special,,3,surprise,,1,angry,,,4,4,1.0,,biscuit,,,event_bowwowparadise_05_s_8,,,,
event_bowwowparadise_05_s_7,40010,event_bowwowparadise_05_s,Speech,Locale_SubScenario:event_bowwowparadise_05_s_7,True,,5,special,,3,surprise,,1,sad,,,XS_10,XS_10,1.0,,biscuit,biscuit,,event_bowwowparadise_05_s_9,,,,
event_bowwowparadise_05_s_8,40010,event_bowwowparadise_05_s,Speech,Locale_SubScenario:event_bowwowparadise_05_s_8,True,,5,special,,3,surprise,,1,sad,,,XS_10,XS_10,1.0,,biscuit,biscuit,,event_bowwowparadise_05_s_9,,,,
event_bowwowparadise_05_s_9,40010,event_bowwowparadise_05_s,Self,Locale_SubScenario:event_bowwowparadise_05_s_9,False,,5,special,,3,surprise,,1,sad,,,XS_10,XS_10,1.0,,biscuit,,,,,,,
event_bowwowparadise_05_s_10,40010,event_bowwowparadise_05_s,Speech,Locale_SubScenario:event_bowwowparadise_05_s_10,True,,5,special,,3,surprise,,1,sad,,,XS_10,XS_10,1.0,,biscuit,biscuit,,,,,,
