id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_ex_redash_04_3_1,80800,d_ex_redash_04_3,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_3_1,False,dorothy,3,idle,Grassland,black,black,1.0,none,,,,,,
d_ex_redash_04_3_2,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_2,True,,3,idle,,30,30,1.0,event_bgm_redash_alldownhill,dorothy,sfx_scn_bird,,,,
d_ex_redash_04_3_3,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_3,True,,3,idle,,30,30,1.0,,dorothy,sfx_scn_wind,,,,
d_ex_redash_04_3_4,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_4,True,,3,idle,,30,30,1.0,,dorothy,,,,,
d_ex_redash_04_3_5,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_5,True,,3,idle,,50,50,1.0,,redhood,,redhood,5,idle,
d_ex_redash_04_3_6,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_6,True,,3,idle,,50,50,1.0,,redhood,,,5,idle,
d_ex_redash_04_3_7,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_7,True,,3,think,,50,4,1.0,,dorothy,,,5,idle,
d_ex_redash_04_3_8,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_8,True,,3,think,,4,4,1.0,,redhood,,,5,idle,
d_ex_redash_04_3_9,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_9,True,,3,think,,4,4,1.0,,redhood,,,5,idle,
d_ex_redash_04_3_10,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_10,True,,3,think,,3,30,1.0,,dorothy,,,5,idle,
d_ex_redash_04_3_11,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_11,True,,3,think,,5,50,1.0,,redhood,,,5,smile,
d_ex_redash_04_3_12,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_12,True,,3,think,,50,4,1.0,,dorothy,,,5,smile,
d_ex_redash_04_3_13,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_13,True,,3,think,,4,4,1.0,,redhood,,,5,smile,
d_ex_redash_04_3_14,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_14,True,,3,think,,4,4,1.0,,redhood,,,5,smile,
d_ex_redash_04_3_15,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_15,True,,3,idle,,4,4,1.0,,dorothy,,,5,smile,
d_ex_redash_04_3_16,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_16,True,,3,idle,,4,4,1.0,,dorothy,,,5,idle,
d_ex_redash_04_3_17,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_17,True,,3,idle,,4,4,1.0,,dorothy,,,5,idle,
d_ex_redash_04_3_18,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_18,True,,3,idle,,4,50,1.0,,redhood,,,5,smile,
d_ex_redash_04_3_19,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_19,True,,3,idle,,50,50,1.0,,redhood,,,5,idle,
d_ex_redash_04_3_20,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_20,True,,3,idle,,50,30,1.0,,dorothy,,,5,idle,
d_ex_redash_04_3_21,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_21,True,,5,idle,,30,6,0.7,,redhood,,,7,surprise,
d_ex_redash_04_3_22,80800,d_ex_redash_04_3,Speech,dorothy,Locale_SuddenStory:d_ex_redash_04_3_22,True,,5,worry,,6,6,1.0,,dorothy,,,7,surprise,
d_ex_redash_04_3_23,80800,d_ex_redash_04_3,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_3_23,True,,5,worry,,6,6,1.0,,redhood,,,7,surprise,
