id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,set_camera_shake,jump_target
event_maidinvalentine_05_s_1,40007,event_maidinvalentine_05_s,Monologue,Locale_SubScenario:event_maidinvalentine_05_s_1,False,soda,1,idle,cocoa,13,idle,ade,3,idle,Storage,black,black,1.0,none,,,,,
event_maidinvalentine_05_s_2,40007,event_maidinvalentine_05_s,Monologue,Locale_SubScenario:event_maidinvalentine_05_s_2,False,,1,idle,,13,idle,,3,idle,,black,black,1.0,,,,,,
event_maidinvalentine_05_s_3,40007,event_maidinvalentine_05_s,Narration,Locale_SubScenario:event_maidinvalentine_05_s_3,False,,1,idle,,13,idle,,3,idle,,113,113,1.0,bgm_story_languor,sfx_scn_poke2,,,,
event_maidinvalentine_05_s_4,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_4,True,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,soda,soda,,
event_maidinvalentine_05_s_5,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_5,False,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,
event_maidinvalentine_05_s_6,40007,event_maidinvalentine_05_s,Monologue,Locale_SubScenario:event_maidinvalentine_05_s_6,False,,1,idle,,13,idle,,3,idle,,113,113,1.0,,,,,,
event_maidinvalentine_05_s_7,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_7,True,,1,think,,13,idle,,3,idle,,113,113,1.0,,,soda,soda,,
event_maidinvalentine_05_s_8,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_8,True,,1,think,,13,idle,,3,idle,,113,113,1.0,,,cocoa,cocoa,,
event_maidinvalentine_05_s_9,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_9,False,,1,think,,13,idle,,3,idle,,113,113,1.0,,,,,,
event_maidinvalentine_05_s_10,40007,event_maidinvalentine_05_s,Narration,Locale_SubScenario:event_maidinvalentine_05_s_10,False,,1,think,,13,idle,,3,idle,,113,113,1.0,,sfx_scn_tooth,,,Low_2,
event_maidinvalentine_05_s_11,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_11,False,,1,think,,13,idle,,3,idle,,113,113,1.0,,,,,,
event_maidinvalentine_05_s_12,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_12,True,,1,idle,,13,idle,,3,idle,,113,S_10,1.0,,,soda,soda,,
event_maidinvalentine_05_s_13,40007,event_maidinvalentine_05_s,Narration,Locale_SubScenario:event_maidinvalentine_05_s_13,False,,1,idle,,13,idle,,3,idle,,S_10,S_10,1.0,,sfx_scn_tooth,,,Low_2,
event_maidinvalentine_05_s_14,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_14,False,,1,idle,,13,idle,,3,idle,,S_10,S_10,1.0,,,,,,
event_maidinvalentine_05_s_15,40007,event_maidinvalentine_05_s,Monologue,Locale_SubScenario:event_maidinvalentine_05_s_15,False,,1,idle,,13,idle,,3,idle,,S_10,S_10,1.0,,,,,,
event_maidinvalentine_05_s_16,40007,event_maidinvalentine_05_s,Self,Locale_SubScenario:event_maidinvalentine_05_s_16,False,,1,idle,,13,idle,,3,idle,,S_10,S_10,1.0,,,,,,
event_maidinvalentine_05_s_17,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_17,True,,1,sad,,13,idle,,3,idle,,S_10,S_10,1.0,,,soda,soda,,
event_maidinvalentine_05_s_18,40007,event_maidinvalentine_05_s,Speech,Locale_SubScenario:event_maidinvalentine_05_s_18,True,,1,sad,,13,idle,,3,idle,,S_10,S_100,1.0,,,soda,soda,,
