id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,fade,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
event_seayouagain1_05_e_1,40024,event_seayouagain1_05_e,Narration,Locale_MainScenario:event_seayouagain1_05_e_1,False,helm_s,13,idle,anis_s,1,void,rapi_s,3,idle,liter_s,5,no,yan_s,7,etc,mary_s,15,think,frima_s,17,idle,neon_s,19,angry,EventScene_SeaYouAgain_01_1,black,black,1.0,sfx_scn_wavebreak,none,,,,,,,,,,,,,,
event_seayouagain1_05_e_2,40024,event_seayouagain1_05_e,Monologue,Locale_MainScenario:event_seayouagain1_05_e_2,False,,13,idle,,1,void,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,black,black,1.0,sfx_scn_wavebreak,,,,,,,,,,,,,,,
event_seayouagain1_05_e_3,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_3,True,,13,idle,,1,void,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,4,4,1.0,,bgm_story_crawlinganxiety,liter_s,liter_s,,,,,,,,,,,,
event_seayouagain1_05_e_4,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_4,True,,13,idle,,1,void,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,4,4,1.0,,,rapi_s,rapi_s,,,,,,,,,,,,
event_seayouagain1_05_e_5,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_5,True,,13,idle,,1,worry,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,4,2,1.0,,,anis_s,anis_s,,,,,,,,,,,,
event_seayouagain1_05_e_6,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_6,True,,13,idle,,1,worry,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,2,2,1.0,,,anis_s,anis_s,,,,,,,,,,,,
event_seayouagain1_05_e_7,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_7,False,,13,idle,,1,worry,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,2,2,1.0,,,rapi_s,rapi_s,,,,,,,,,,,,
event_seayouagain1_05_e_8,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_8,True,,13,idle,,1,worry,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,2,2,1.0,,,rapi_s,rapi_s,,,,,,,,,,,,
event_seayouagain1_05_e_9,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_9,True,,13,idle,,1,worry,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,2,2,1.0,,,rapi_s,rapi_s,,,,,,,,,,,,
event_seayouagain1_05_e_10,40024,event_seayouagain1_05_e,Speech,Locale_MainScenario:event_seayouagain1_05_e_10,True,,13,idle,,1,void,,3,idle,,5,no,,7,etc,,15,think,,17,idle,,19,angry,,2,XS_10,1.0,,,anis_s,anis_s,,,,,,,,,,,,
