id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_camera_shake,characters/3/hide_char_id,characters/4/hide_char_id,fade
event_ce003_1_06_s_1,40041,event_ce003_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_s_1,True,neon,7,idle,anis,5,idle,rapi,3,think,CommanderRoom,50,6,1.0,sfx_scn_mic,none,,,,,,,,,,
event_ce003_1_06_s_2,40041,event_ce003_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_s_2,True,,7,idle,,5,idle,,3,think,,6,6,1.0,,,,,,,,,,,,
event_ce003_1_06_s_3,40041,event_ce003_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_s_3,True,,7,idle,,5,idle,,3,think,,6,4,1.0,,,,,,,,,,,,
event_ce003_1_06_s_4,40041,event_ce003_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_s_4,True,,7,idle,,5,delight,,3,think,,4,50,1.0,,event_bgm_ce003_main,,,,,,,,,,
event_ce003_1_06_s_5,40041,event_ce003_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_s_5,True,,7,no,,5,delight,,3,think,,S_70,S_700,1.0,,,,,,,,,,,,
event_ce003_1_06_s_6,40041,event_ce003_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_s_6,True,,7,no,,5,idle,,3,think,,50,50,1.0,,,,,,,,,,,,
event_ce003_1_06_s_7,40041,event_ce003_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_s_7,True,,7,no,,5,idle,,3,think,,S_700,S_70,1.0,,,,,,,,,,,,
event_ce003_1_06_s_8,40041,event_ce003_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_s_8,True,,7,no,,5,idle,,3,worry,,30,30,1.0,,,,,,,,,,,,
event_ce003_1_06_s_9,40041,event_ce003_1_06_s,Self,rapi,,Locale_SubScenario:event_ce003_1_06_s_9,False,,7,idle,,5,idle,,3,worry,,30,30,1.0,,,,,,,,,,,,
event_ce003_1_06_s_10,40041,event_ce003_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_s_10,True,,7,idle,,5,void,,3,think,,30,50,1.0,,,,,,,,,,,,
event_ce003_1_06_s_11,40041,event_ce003_1_06_s,Speech,anis,anis,Locale_SubScenario:event_ce003_1_06_s_11,True,,7,idle,,5,idle,,3,think,,50,50,1.0,,,,,,,,,,,,
event_ce003_1_06_s_12,40041,event_ce003_1_06_s,Speech,neon,neon,Locale_SubScenario:event_ce003_1_06_s_12,True,,7,delight,,5,idle,,3,think,,50,S_70,1.0,,,,,,,,,,,,
event_ce003_1_06_s_13,40041,event_ce003_1_06_s,Speech,rapi,rapi,Locale_SubScenario:event_ce003_1_06_s_13,True,,7,delight,,5,idle,,3,think,,30,30,1.0,,,,,,,,,,,,
