id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,characters/6/hide_char_id
event_redash1_05_s_1,40031,event_redash1_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_05_s_1,True,snowwhite_o,1,idle,rapunzel_o,3,special,liliweiss,5,idle,commander,7,idle,redhood,13,idle,hongryeon_o,15,idle,dorothy,17,idle,Armory,S_10,S_10,1.0,event_bgm_redash_alldownhill,,,,,
event_redash1_05_s_2,40031,event_redash1_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_05_s_2,True,,1,sad,,3,special,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,S_10,S_10,1.0,,,,,,
event_redash1_05_s_3,40031,event_redash1_05_s,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_05_s_3,False,,1,sad,,3,special,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,S_10,31,1.0,,,,,,
event_redash1_05_s_4,40031,event_redash1_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_05_s_4,True,,1,shy,,3,special,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,
event_redash1_05_s_5,40031,event_redash1_05_s,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_05_s_5,False,,1,shy,,3,surprise,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,
event_redash1_05_s_6,40031,event_redash1_05_s,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash1_05_s_6,True,,1,shy,,3,surprise,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,
event_redash1_05_s_7,40031,event_redash1_05_s,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_05_s_7,True,,1,shy,,3,special,,5,idle,,7,idle,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,
event_redash1_05_s_8,40031,event_redash1_05_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_05_s_8,True,,1,shy,,3,special,,5,no,,7,idle,,13,idle,,15,idle,,17,idle,,31,53,1.0,,,,,,
event_redash1_05_s_9,40031,event_redash1_05_s,Speech,rapunzel_o,rapunzel,Locale_MainScenario:event_redash1_05_s_9,True,,1,shy,,3,special,,5,no,,7,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,
event_redash1_05_s_10,40031,event_redash1_05_s,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash1_05_s_10,True,,1,shy,,3,special,,5,no,,7,idle,,13,idle,,15,idle,,17,idle,,53,53,1.0,,,,,,
