id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim
event_lastkingdom2_b02_s_1,40046,event_lastkingdom2_b02_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_b02_s_1,True,kilo,1,idle,chime,13,void,talos,5,idle,crown,15,idle,CrownCastleFrontYard_d,S_10,S_10,1.0,event_bgm_lastkingdom_reclusivepilot,,,,,,,,,,
event_lastkingdom2_b02_s_2,40046,event_lastkingdom2_b02_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_b02_s_2,True,,1,idle,,13,void,,5,idle,,15,idle,,S_10,XXS_130,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_3,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_3,True,,1,idle,,13,void,,5,idle,,15,idle,,XXS_130,150,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_4,40046,event_lastkingdom2_b02_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom2_b02_s_4,True,,1,idle,,13,void,,5,idle,,15,idle,,50,50,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_5,40046,event_lastkingdom2_b02_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom2_b02_s_5,True,,1,idle,,13,void,,5,idle,,15,idle,,50,5,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_6,40046,event_lastkingdom2_b02_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_b02_s_6,True,,1,idle,,13,void,,5,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_7,40046,event_lastkingdom2_b02_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom2_b02_s_7,True,,1,idle,,13,void,,5,idle,,15,idle,,50,50,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_8,40046,event_lastkingdom2_b02_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_b02_s_8,True,,1,smile,,13,void,,5,idle,,15,idle,,S_10,S_10,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_9,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_9,True,,1,smile,,13,void,,5,idle,,15,idle,,150,150,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_10,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_10,True,,1,smile,,13,void,,5,idle,,15,shy,,150,150,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_11,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_11,True,,1,smile,,13,void,,5,idle,,15,idle,,150,15,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_12,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_12,True,,1,smile,,13,void,,5,idle,,15,idle,,15,15,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_13,40046,event_lastkingdom2_b02_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_b02_s_13,True,,1,smile,,13,special,,5,idle,,15,idle,,15,1315,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_14,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_14,True,,1,smile,,13,special,,5,idle,,15,think,,1315,1315,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_15,40046,event_lastkingdom2_b02_s,Speech,chime,chime,Locale_MainScenario:event_lastkingdom2_b02_s_15,True,,1,smile,,13,special,,5,idle,,15,think,,1315,1315,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_16,40046,event_lastkingdom2_b02_s,Speech,kilo,kilo,Locale_MainScenario:event_lastkingdom2_b02_s_16,True,,1,think,,13,special,,5,idle,,15,think,,S_10,S_10,2.0,,,,,,,,,,,
event_lastkingdom2_b02_s_17,40046,event_lastkingdom2_b02_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom2_b02_s_17,True,,1,think,,13,idle,,5,idle,,15,idle,,50,50,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_18,40046,event_lastkingdom2_b02_s,Narration,talos,,Locale_MainScenario:event_lastkingdom2_b02_s_18,False,,1,think,,13,idle,,15,idle,,17,idle,,black,black,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_19,40046,event_lastkingdom2_b02_s,Speech,talos,talos,Locale_MainScenario:event_lastkingdom2_b02_s_19,True,,1,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_20,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_20,False,,1,idle,,13,idle,,15,idle,,17,idle,,1517,1517,1.0,,,,,,,,,,,
event_lastkingdom2_b02_s_21,40046,event_lastkingdom2_b02_s,Speech,crown,crown,Locale_MainScenario:event_lastkingdom2_b02_s_21,True,,1,idle,,13,idle,,15,idle,,17,idle,,1517,1517,0.5,,,,,,,,,,,
