id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake
re_event_ce02_3_03_e_1,40082,re_event_ce02_3_03_e,Narration,Locale_SubScenario:event_ce02_3_03_e_1,False,p12,13,idle,ce_02_02,1,angry,TechIndoor_n,black,black,1.0,sfx_scn_bang,event_bgm_spot_oblivion,,,
re_event_ce02_3_03_e_2,40082,re_event_ce02_3_03_e,Monologue,Locale_SubScenario:event_ce02_3_03_e_2,False,,13,idle,,1,angry,,12,12,1.0,,,,,
re_event_ce02_3_03_e_3,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_3,True,,13,idle,,1,angry,,12,10,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_4,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_4,True,,13,idle,,1,angry,,10,10,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_5,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_5,True,,13,idle,,1,angry,,130,130,1.0,,,p12,p12,
re_event_ce02_3_03_e_6,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_6,True,,13,idle,,1,angry,,130,130,1.0,,,p12,p12,
re_event_ce02_3_03_e_7,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_7,True,,13,idle,,1,angry,,130,12,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_8,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_8,True,,13,idle,,1,angry,,12,12,1.0,,,p12,p12,
re_event_ce02_3_03_e_9,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_9,True,,13,idle,,1,angry,,12,12,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_10,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_10,True,,13,idle,,1,angry,,12,130,0.6,,,p12,p12,
re_event_ce02_3_03_e_11,40082,re_event_ce02_3_03_e,Narration,Locale_SubScenario:event_ce02_3_03_e_11,False,,13,idle,,1,angry,,130,17,1.0,sfx_scn_heavyknock,,,,Low_2
re_event_ce02_3_03_e_12,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_12,True,,13,idle,,1,angry,,17,12,1.0,,,p12,p12,
re_event_ce02_3_03_e_13,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_13,True,,13,idle,,1,think,,12,12,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_14,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_14,True,,13,idle,,1,think,,12,12,1.0,,,ce_02_02,ce_02_02,
re_event_ce02_3_03_e_15,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_15,True,,13,idle,,1,think,,12,130,1.0,,,p12,p12,
re_event_ce02_3_03_e_16,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_16,True,,13,idle,,1,think,,130,130,1.0,,,p12,p12,
re_event_ce02_3_03_e_17,40082,re_event_ce02_3_03_e,Speech,Locale_SubScenario:event_ce02_3_03_e_17,True,,13,idle,,1,think,,130,130,1.0,,,p12,p12,
