id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_contents_bubblemarch_01_18,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_18,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_19,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_19,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_20,82001,d_contents_bubblemarch_01,,Speech,yuni_n,yuni_n,Locale_SubScenario:d_contents_bubblemarch_01_20,True,,,,,,,12,L_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_21,82001,d_contents_bubblemarch_01,,Narration,yuni_n,,Locale_SubScenario:d_contents_bubblemarch_01_21,False,,,,,,,L_10,L_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_22,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_22,True,,,,,,,L_130,L_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_23,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_23,True,,,,,,,L_130,L_130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_24,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_24,True,,,,,,,L_130,12,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_25,82001,d_contents_bubblemarch_01,,Speech,yuni_n,yuni_n,Locale_SubScenario:d_contents_bubblemarch_01_25,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_26,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_26,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_27,82001,d_contents_bubblemarch_01,,Speech,yuni_n,yuni_n,Locale_SubScenario:d_contents_bubblemarch_01_27,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_28,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_28,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_29,82001,d_contents_bubblemarch_01,,Speech,yuni_n,yuni_n,Locale_SubScenario:d_contents_bubblemarch_01_29,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_contents_bubblemarch_01_30,82001,d_contents_bubblemarch_01,,Speech,littlemermaid,littlemermaid,Locale_SubScenario:d_contents_bubblemarch_01_30,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
