id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_redash2_intermission_01_80,40032,event_redash2_intermission_01,,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_intermission_01_80,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_81,40032,event_redash2_intermission_01,,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_intermission_01_81,True,,,,,,,S_300,S_300,0,,,,100,,,None,None,,None,False,,,1,surprise,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_82,40032,event_redash2_intermission_01,,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_intermission_01_82,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_83,40032,event_redash2_intermission_01,,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_intermission_01_83,True,,,,,,,S_300,S_300,0,,,,100,,,None,None,,None,False,,,1,surprise,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_84,40032,event_redash2_intermission_01,,Narration,,,Locale_MainScenario:event_redash2_intermission_01_84,False,,,,,,,S_300,31,0,,,,100,,,None,None,,None,False,,,1,surprise,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_85,40032,event_redash2_intermission_01,,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_intermission_01_85,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,think,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_86,40032,event_redash2_intermission_01,,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_intermission_01_86,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,think,,,3,sad_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_87,40032,event_redash2_intermission_01,,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_intermission_01_87,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,think,,,3,sad_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_88,40032,event_redash2_intermission_01,,Speech,snowwhite_o,snowwhite_o,Locale_MainScenario:event_redash2_intermission_01_88,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,think,,,3,sad_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_89,40032,event_redash2_intermission_01,,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_intermission_01_89,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_redash2_intermission_01_90,40032,event_redash2_intermission_01,,Speech,liliweiss,liliweiss,Locale_MainScenario:event_redash2_intermission_01_90,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
